재야인사로	재야인사/NNG + 로/JKB
원만하다.	원만/XR + 하/XSA + 다/EF + ./SF

▴	▴/SW
경기	경기/NNP
김포·48세	김포/NNP + ·/SP + 48/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
법대	법대/NNG
▴	▴/SW
김영삼	김영삼/NNP
신민당	신민당/NNP
총재	총재/NNG
비서	비서/NNG
▴	▴/SW
민주당	민주당/NNP
총재	총재/NNG
비서실장	비서실장/NNG
▴	▴/SW
13대	13/SN + 대/NNB
의원(민자)	의원/NNG + (/SS + 민자/NNP + )/SS

12,	12/SN + ,/SP
13대	13/SN + 대/NNB
강원도	강원도/NNP
원주에서	원주/NNP + 에서/JKB
민정당	민정당/NNP
후보로	후보/NNG + 로/JKB
출마,	출마/NNG + ,/SP
당선된	당선/NNG + 되/XSV + ㄴ/ETM
재선	재선/NNG
의원	의원/NNG
출신.	출신/NNG + ./SF

14대	14/SN + 대/NNB
때는	때/NNG + 는/JX
국민당	국민당/NNP
돌풍에	돌풍/NNG + 에/JKB
고배를	고배/NNG + 를/JKO
들었다.	들/VV + 었/EP + 다/EF + ./SF

당내에서는	당내/NNG + 에서/JKB + 는/JX
김윤환	김윤환/NNP
의원	의원/NNG
계보로	계보/NNG + 로/JKB
일찍부터	일찍/MAG + 부터/JX
김영삼	김영삼/NNP
대표	대표/NNG
대통령	대통령/NNG
만들기에	만들/VV + 기에/EC
기여한	기여/NNG + 하/XSV + ㄴ/ETM
공로를	공로/NNG + 를/JKO
인정받고	인정받/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

▴	▴/SW
강원	강원/NNP
원주·49세	원주/NNP + ·/SP + 49/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
농대	농대/NNG
▴	▴/SW
상지대교수	상지대/NNP + 교수/NNG
▴	▴/SW
민정당	민정당/NNP
부총무	부총무/NNG
▴	▴/SW
민자당	민자당/NNP
민원실장	민원실장/NNG

경찰	경찰/NNG
간부	간부/NNG
후보생	후보생/NNG
11기로	11/SN + 기/NNG + 로/JKB
평소에	평소/NNG + 에/JKB
책을	책/NNG + 을/JKO
가까이	가까이/MAG
하는	하/VV + 는/ETM
학구파.	학구/NNG + 파/NNG + ./SF

경찰대학장	경찰대학장/NNG
시절엔	시절/NNG + 에/JKB + ㄴ/JX
후배가	후배/NNG + 가/JKS
상급자인	상급자/NNG + 이/VCP + ㄴ/ETM
치안	치안/NNG
본부장이	본부장/NNG + 이/JKS
되자	되/VV + 자/EC
'바람직한	'/SS + 바람직/XR + 하/XSA + ㄴ/ETM
인사관행'을	인사/NNG + 관행/NNG + '/SS + 을/JKO
위해	위하/VV + 아/EC
자진사퇴하기도	자진/NNG + 사퇴/NNG + 하/XSV + 기/ETN + 도/JX
했다.	하/VX + 았/EP + 다/EF + ./SF

부인	부인/NNG
이진숙씨(56)와	이진숙/NNP + 씨/NNB + (/SS + 56/SN + )/SS + 와/JC
1남	1/SN + 남/NNG
4녀.	4/SN + 녀/NNG + ./SF

▴	▴/SW
전남	전남/NNP
함평·59세	함평/NNP + ·/SP + 59/SN + 세/NNB
▴	▴/SW
전남	전남/NNP
경찰	경찰/NNG
국장	국장/NNG
▴	▴/SW
부산	부산/NNP
시경	시경/NNG
국장	국장/NNG
▴	▴/SW
경찰대학	경찰대학/NNP
학장	학장/NNG
▴	▴/SW
감사원	감사원/NNG
감사	감사/NNG
위원	위원/NNG
▴	▴/SW
서울시	서울시/NNP
시설관리공단	시설/NNG + 관리/NNG + 공단/NNG
이사장	이사장/NNG

66년	66/SN + 년/NNB
안기부	안기부/NNG
공채	공채/NNG
2기로	2/SN + 기/NNG + 로/JKB
들어가	들어가/VV + 아/EC
줄곧	줄곧/MAG
정보	정보/NNG
업무에만	업무/NNG + 에/JKB + 만/JX
종사해	종사/NNG + 하/XSV + 아/EC
온	오/VX + ㄴ/ETM
정보	정보/NNG
전문가.	전문가/NNG + ./SF

안기부	안기부/NNG
업무에	업무/NNG + 에/JKB
두루	두루/MAG
밝고	밝/VA + 고/EC
상황	상황/NNG
판단이	판단/NNG + 이/JKS
빠르다.	빠르/VA + 다/EF + ./SF

과묵하고	과묵/NNG + 하/XSA + 고/EC
의리를	의리/NNG + 를/JKO
중시하는	중시/NNG + 하/XSV + 는/ETM
스타일로	스타일/NNG + 로/JKB
부하	부하/NNG
직원들의	직원/NNG + 들/XSN + 의/JKG
신망을	신망/NNG + 을/JKO
받는다.	받/VV + 는다/EF + ./SF

김근수	김근수/NNP
전	전/MM
의원에	의원/NNG + 에/JKB
이어	잇/VV + 어/EC
두	두/MM
번째로	번/NNB + 째/XSN + 로/JKB
내부승진….	내부/NNG + 승진/NNG + …/SE + ./SF

▴	▴/SW
경남	경남/NNP
마산·53세	마산/NNP + ·/SP + 53/SN + 세/NNB
▴	▴/SW
고려대	고려대/NNP
법학과	법학/NNG + 과/NNG
졸	졸/NNG
▴	▴/SW
안기부	안기부/NNG
공채	공채/NNG
2기	2/SN + 기/NNG
▴	▴/SW
안기부	안기부/NNG
1국장	1/SN + 국장/NNG
1차장보	1/SN + 차장보/NNG

내무부에서	내무부/NNG + 에서/JKB
잔뼈가	잔뼈/NNG + 가/JKS
굵은	굵/VA + 은/ETM
정통	정통/NNG
내무	내무/NNG
관료.	관료/NNG + ./SF

부친	부친/NNG
이복양	이복양/NNP
씨도	씨/NNB + 도/JX
전남	전남/NNP
부지사를	부지사/NNG + 를/JKO
역임했다.	역임/NNG + 하/XSV + 았/EP + 다/EF + ./SF

독실한	독실/XR + 하/XSA + ㄴ/ETM
기독	기독/NNG
신자로	신자/NNG + 로/JKB
소망	소망/NNG
교회의	교회/NNG + 의/JKG
장로	장로/NNG
일도	일/NNG + 도/JX
맡고	맡/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

▴	▴/SW
전남	전남/NNP
여수·58세	여수/NNP + ·/SP + 58/SN + 세/NNB
▴	▴/SW
숭실대	숭실대/NNP
법학과	법학/NNG + 과/NNG
졸	졸/NNG
▴	▴/SW
전북도	전북도/NNP
기획관리실장	기획/NNG + 관리/NNG + 실장/NNG
▴	▴/SW
충북	충북/NNP
부지사	부지사/NNG
▴	▴/SW
부산부시장	부산/NNP + 부시장/NNG
▴	▴/SW
국무	국무/NNG
총리	총리/NNG
행정	행정/NNG
조정	조정/NNG
실장	실장/NNG
제3	제/XPN + 3/SN
행정	행정/NNG
조정관	조정관/NNG
▴	▴/SW
내무부	내무부/NNG
기획관리실장	기획/NNG + 관리/NNG + 실장/NNG
▴	▴/SW
내무부	내무부/NNG
차관보	차관보/NNG
▴	▴/SW
광주	광주/NNP
시장	시장/NNG

행시	행시/NNG
7회로	7/SN + 회/NNB + 로/JKB
경제기획원	경제/NNG + 기획원/NNG
사무관으로	사무관/NNG + 으로/JKB
출발,	출발/NNG + ,/SP
기획	기획/NNG
국장에	국장/NNG + 에/JKB
이르기까지	이르/VV + 기/ETN + 까지/JX
기획원에서만	기획원/NNG + 에서/JKB + 만/JX
일해	일/NNG + 하/XSV + 아/EC
온	오/VX + ㄴ/ETM
경제통.	경제통/NNG + ./SF

치밀하고	치밀/XR + 하/XSA + 고/EC
논리적인	논리/NNG + 적/XSN + 이/VCP + ㄴ/ETM
사고력이	사고력/NNG + 이/JKS
돋보인다.	돋보이/VV + ㄴ다/EF + ./SF

3당	3/SN + 당/NNG
합당후	합당/NNG + 후/NNG
민자당	민자당/NNP
경제	경제/NNG
전문	전문/NNG
위원으로	위원/NNG + 으로/JKB
들어간	들어가/VV + ㄴ/ETM
뒤	뒤/NNG
당시	당시/NNG
김영삼	김영삼/NNP
대표의	대표/NNG + 의/JKG
경제	경제/NNG
개인	개인/NNG
교사로	교사/NNG + 로/JKB
역할을	역할/NNG + 을/JKO
맡았다.	맡/VV + 았/EP + 다/EF + ./SF

▴	▴/SW
경남	경남/NNP
김해·50세	김해/NNP + ·/SP + 50/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
상대	상대/NNG
▴	▴/SW
기획원	기획원/NNG
자금계획과장-기획국장-민자당	자금/NNG + 계획/NNG + 과장/NNG + -/SS + 기획국장/NNG + -/SS + 민자당/NNP
총재경제보좌역	총재/NNG + 경제/NNG + 보좌/NNG + 역/NNG

79년	79/SN + 년/NNB
서울시	서울시/NNP
지하	지하/NNG
철본부장으로	철/NA + 본부장/NNG + 으로/JKB
5년	5/SN + 년/NNB
동안	동안/NNG
2호선	2/SN + 호/NNB + 선/NNG
건설을	건설/NNG + 을/JKO
책임졌고,	책임지/VV + 었/EP + 고/EC + ,/SP
89년부터	89/SN + 년/NNB + 부터/JX
현직을	현직/NNG + 을/JKO
맡아	맡/VV + 아/EC
4년	4/SN + 년/NNB
동안	동안/NNG
재임중인	재임/NNG + 중/NNB + 이/VCP + ㄴ/ETM
지하철	지하철/NNG
건설의	건설/NNG + 의/JKG
베테랑.	베테랑/NNG + ./SF

공학	공학/NNG
박사로,	박사/NNG + 로/JKB + ,/SP
현장	현장/NNG
경험과	경험/NNG + 과/JKB
함께	함께/MAG
이론을	이론/NNG + 을/JKO
겸비했다.	겸비/NNG + 하/XSV + 았/EP + 다/EF + ./SF

친화력이	친화력/NNG + 이/JKS
있고	있/VV + 고/EC
부하들의	부하/NNG + 들/XSN + 의/JKG
신망이	신망/NNG + 이/JKS
높다.	높/VA + 다/EF + ./SF

▴	▴/SW
경북	경북/NNP
의성	의성/NNP
57세	57/SN + 세/NNB
▴	▴/SW
동아대	동아대/NNP
공대	공대/NNG
졸	졸/NNG
▴	▴/SW
하수국장	하수국장/NNG
▴	▴/SW
건설국장	건설국장/NNG
▴	▴/SW
종합	종합/NNG
건설	건설/NNG
본부장	본부장/NNG
▴	▴/SW
지하철	지하철/NNG
건설	건설/NNG
본부장	본부장/NNG

국회	국회/NNG
사무처	사무처/NNG
사무관으로	사무관/NNG + 으로/JKB
공직	공직/NNG
생활을	생활/NNG + 을/JKO
시작,	시작/NNG + ,/SP
69년	69/SN + 년/NNB
감사원으로	감사원/NNG + 으로/JKB
옮겨	옮기/VV + 어/EC
24년	24/SN + 년/NNB
간	간/NNB
근무했다.	근무/NNG + 하/XSV + 았/EP + 다/EF + ./SF

감사	감사/NNG
부서인	부서/NNG + 이/VCP + ㄴ/ETM
1-2-3-4국을	1/SN + -/SS + 2/SN + -/SS + 3/SN + -/SS + 4/SN + 국/NNG + 을/JKO
두루	두루/MAG
거치며	거치/VV + 며/EC
감사	감사/NNG
경험을	경험/NNG + 을/JKO
쌓았다.	쌓/VV + 았/EP + 다/EF + ./SF

컴퓨터를	컴퓨터/NNG + 를/JKO
자유	자유/NNG
자재로	자재/NNG + 로/JKB
다룰	다루/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
소신	소신/NNG
있는	있/VV + 는/ETM
감사인이란	감사인/NNG + 이/VCP + 란/ETM
평.	평/NNG + ./SF

▴	▴/SW
경기	경기/NNP
파주·54세	파주/NNP + ·/SP + 54/SN + 세/NNB
▴	▴/SW
서울	서울/NNP
법대	법대/NNG
졸	졸/NNG
▴	▴/SW
국회	국회/NNG
사무처	사무처/NNG
사무관	사무관/NNG
▴	▴/SW
감사원	감사원/NNG
총무과장,	총무/NNG + 과장/NNG + ,/SP
3국장,	3/SN + 국장/NNG + ,/SP
2국장,	2/SN + 국장/NNG + ,/SP
기획관리실장	기획/NNG + 관리/NNG + 실장/NNG

행시	행시/NNG
8회로	8/SN + 회/NNB + 로/JKB
군수	군수/NNG
부지사	부지사/NNG
등을	등/NNB + 을/JKO
거친	거치/VV + ㄴ/ETM
내무	내무/NNG
관료.	관료/NNG + ./SF

기획	기획/NNG
능력과	능력/NNG + 과/JC
추진력이	추진력/NNG + 이/JKS
돋보이고	돋보이/VV + 고/EC
기억력이	기억력/NNG + 이/JKS
뛰어나	뛰어나/VA + 아/EC
별명이	별명/NNG + 이/JKS
'백과사전'.	'/SS + 백과사전/NNG + '/SS + ./SF

세세한	세세/XR + 하/XSA + ㄴ/ETM
사항까지	사항/NNG + 까지/JX
꼼꼼하게	꼼꼼/MAG + 하/XSA + 게/EC
챙기는	챙기/VV + 는/ETM
스타일.	스타일/NNG + ./SF

김선숙씨(51)와	김선숙/NNP + 씨/NNB + (/SS + 51/SN + )/SS + 와/JC
1남	1/SN + 남/NNG
4녀.	4/SN + 녀/NNG + ./SF

▴	▴/SW
전남	전남/NNP
여수·54세	여수/NNP + ·/SP + 54/SN + 세/NNB
▴	▴/SW
성균관대	성균관대/NNP
법학과	법학/NNG + 과/NNG
1년	1/SN + 년/NNB
수료	수료/NNG
▴	▴/SW
진도	진도/NNP
장성군수	장성/NNP + 군수/NNG
▴	▴/SW
전남기획관리실장	전남/NNP + 기획/NNG + 관리/NNG + 실장/NNG
▴	▴/SW
광주	광주/NNP
부시장	부시장/NNG
▴	▴/SW
내무부	내무부/NNG
지방세제국장	지방/NNG + 세제/NNG + 국장/NNG
▴	▴/SW
전남	전남/NNP
부지사	부지사/NNG

행시	행시/NNG
10회로	10/SN + 회/NNB + 로/JKB
내무부	내무부/NNG
재정과장,	재정/NNG + 과장/NNG + ,/SP
국장을	국장/NNG + 을/JKO
지낸	지내/VV + ㄴ/ETM
재정통.	재정통/NNG + ./SF

일찌감치	일찌감치/MAG
도백으로	도백/NNG + 으로/JKB
꼽혀	꼽히/VV + 어/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

부드러운	부드럽/VA + ㄴ/ETM
외모에	외모/NNG + 에/JKB
걸맞게	걸맞/VA + 게/EC
돌다리도	돌다리/NNG + 도/JX
두드려	두드리/VV + 어/EC
보고	보/VX + 고/EC
건널	건너/VV + ㄹ/ETM
만큼	만큼/NNB
매사를	매사/NNG + 를/JKO
신중하게	신중/NNG + 하/XSA + 게/EC
처리하는	처리/NNG + 하/XSV + 는/ETM
것으로	것/NNB + 으로/JKB
소문나	소문나/VV + 아/EC
있다.	있/VX + 다/EF + ./SF

부인	부인/NNG
김희영	김희영/NNP
여사(51)와	여사/NNG + (/SS + 51/SN + )/SS + 와/JC
1녀.	1/SN + 녀/NNG + ./SF

▴	▴/SW
충북	충북/NNP
중원·51세	중원/NNP + ·/SP + 51/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
법대▴	법대/NNG + ▴/SW
청주시장	청주시장/NNG
▴	▴/SW
내무부	내무부/NNG
지방행정연수원장	지방/NNG + 행정/NNG + 연수/NNG + 원장/NNG
▴	▴/SW
청와대	청와대/NNP
행정비서관	행정/NNG + 비서관/NNG

엘리트코스를	엘리트/NNG + 코스/NNG + 를/JKO
밟아	밟/VV + 아/EC
온	오/VX + ㄴ/ETM
정통	정통/NNG
내무	내무/NNG
관료.	관료/NNG + ./SF

항상	항상/MAG
부드러운	부드럽/VA + ㄴ/ETM
미소를	미소/NNG + 를/JKO
잃지	잃/VV + 지/EC
않는	않/VX + 는/ETM
전형적인	전형/NNG + 적/XSN + 이/VCP + ㄴ/ETM
'호인'형.	'/SS + 호인/NNG + '/SS + 형/XSN + ./SF

독실한	독실/XR + 하/XSA + ㄴ/ETM
기독교	기독교/NNG
신자로	신자/NNG + 로/JKB
노모에	노모/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
지극한	지극/XR + 하/XSA + ㄴ/ETM
효성으로	효성/NNG + 으로/JKB
소문나	소문나/VV + 아/EC
있다.	있/VX + 다/EF + ./SF

이명숙	이명숙/NNP
여사(50)와	여사/NNG + (/SS + 50/SN + )/SS + 와/JC
2남.	2/SN + 남/NNG + ./SF

▴	▴/SW
경북	경북/NNP
청도·55세	청도/NNP + ·/SP + 55/SN + 세/NNB
▴	▴/SW
영남대	영남대/NNP
경제학과	경제학/NNG + 과/NNG
▴	▴/SW
경기도	경기도/NNP
부천-안양시장	부천/NNP + -/SS + 안양/NNP + 시장/NNG
▴	▴/SW
내무부	내무부/NNG
지방	지방/NNG
행정	행정/NNG
국장,	국장/NNG + ,/SP
기획	기획/NNG
관리	관리/NNG
실장	실장/NNG

온화한	온화/XR + 하/XSA + ㄴ/ETM
외모에	외모/NNG + 에/JKB
미	미/NNP
하버드	하버드/NNP
대(법학)와	대/NNG + (/SS + 법학/NNG + )/SS + 와/JC
존스	존스/NNP
홉킨스	홉킨스/NNP
대(국제	대/NNG + (/SS + 국제/NNG
정치학)	정치학/NNG + )/SS
박사	박사/NNG
학위를	학위/NNG + 를/JKO
갖고	갖/VV + 고/EC
있는	있/VX + 는/ETM
국제통.	국제통/NNG + ./SF

김영삼	김영삼/NNP
대통령의	대통령/NNG + 의/JKG
막내	막내/NNG
여동생인	여동생/NNG + 이/VCP + ㄴ/ETM
두악씨의	두악/NNP + 씨/NNB + 의/JKG
남편	남편/NNG
김창원	김창원/NNP
씨의	씨/NNB + 의/JKG
형이다.	형/NNG + 이/VCP + 다/EF + ./SF

이	이/MM
인연으로	인연/NNG + 으로/JKB
87년에	87/SN + 년/NNB + 에/JKB
귀국,	귀국/NNG + ,/SP
김	김/NNP
대통령을	대통령/NNG + 을/JKO
돕기	돕/VV + 기/ETN
시작했다.	시작/NNG + 하/XSV + 았/EP + 다/EF + ./SF

▴	▴/SW
서울·56세	서울/NNP + ·/SP + 56/SN + 세/NNB
▴	▴/SW
컬럼비아대,	컬럼비아대/NNP + ,/SP
존스	존스/NNP
홉킨스대	홉킨스대/NNP
대학원▴	대학원/NNG + ▴/SW
통일	통일/NNG
민주당,	민주당/NNP + ,/SP
민자당	민자당/NNP
총재	총재/NNG
외교	외교/NNG
안보	안보/NNG
특보	특보/NNG

전형적인	전형/NNG + 적/XSN + 이/VCP + ㄴ/ETM
외유	외유/NNG
내강형.	내강/NNG + 형/XSN + ./SF

업무를	업무/NNG + 를/JKO
꼼꼼히	꼼꼼히/MAG
챙기면서도	챙기/VV + 면서/EC + 도/JX
상하	상하/NNG
인간	인간/NNG
관계가	관계/NNG + 가/JKS
좋다는	좋/VA + 다는/ETM
평.	평/NNG + ./SF

줄곧	줄곧/MAG
상공부에서	상공/NNG + 부/NNG + 에서/JKB
근무하다	근무/NNG + 하/XSV + 다/EC
91년	91/SN + 년/NNB
1월	1/SN + 월/NNB
상공부	상공/NNG + 부/NNG
제	제/XPN
2차관보를	2/SN + 차관보/NNG + 를/JKO
끝으로	끝/NNG + 으로/JKB
동력자원부로	동력/NNG + 자원/NNG + 부/NNG + 로/JKB
옮겨	옮기/VV + 어/EC
지난해	지난해/NNG
전력위기	전력/NNG + 위기/NNG
극복을	극복/NNG + 을/JKO
일선에서	일선/NNG + 에서/JKB
지휘.	지휘/NNG + ./SF

▴	▴/SW
서울·54세	서울/NNP + ·/SP + 54/SN + 세/NNB
▴	▴/SW
서울	서울/NNP
법대	법대/NNG
졸	졸/NNG
▴	▴/SW
행시	행시/NNG
1회	1/SN + 회/NNB
▴	▴/SW
상공부	상공/NNG + 부/NNG
사무관	사무관/NNG
▴	▴/SW
민정당	민정당/NNP
상공전문위원	상공/NNG + 전문/NNG + 위원/NNG
▴	▴/SW
상공부	상공/NNG + 부/NNG
제	제/XPN
2차관보	2/SN + 차관보/NNG
▴	▴/SW
동력자원부	동력/NNG + 자원/NNG + 부/NNG
차관	차관/NNG

국교교사를	국교/NNG + 교사/NNG + 를/JKO
잠시	잠시/MAG
하다	하/VV + 다/EC
72년	72/SN + 년/NNB
민관식	민관식/NNP
문교	문교/NNG
장관	장관/NNG
비서관으로	비서관/NNG + 으로/JKB
교육	교육/NNG
행정에	행정/NNG + 에/JKB
입문.	입문/NNG + ./SF

특유의	특유/NNG + 의/JKG
추진력과	추진력/NNG + 과/JC
아이디어를	아이디어/NNG + 를/JKO
무기로	무기/NNG + 로/JKB
고위직까지	고위/NNG + 직/NNG + 까지/JX
단기	단기/NNG
돌파형.	돌파/NNG + 형/XSN + ./SF

▴	▴/SW
충남	충남/NNP
홍성·54세	홍성/NNP + ·/SP + 54/SN + 세/NNB
▴	▴/SW
대전사범학교	대전사범학교/NNP
▴	▴/SW
미	미/NNP
플로리다	플로리다/NNP
주립대	주립대/NNG
▴	▴/SW
미	미/NNP
조지워싱턴대	조지워싱턴대/NNP
교육학박사	교육학/NNG + 박사/NNG
▴	▴/SW
주미	주미/NNG
수석교육관	수석/NNG + 교육관/NNG
▴	▴/SW
교육부	교육부/NNG
교직국장	교직/NNG + 국장/NNG
▴	▴/SW
대학정책실장	대학/NNG + 정책실장/NNG

지난	지나/VV + ㄴ/ETM
61년	61/SN + 년/NNB
감사원	감사원/NNG
전신인	전신/NNG + 이/VCP + ㄴ/ETM
심계원에	심계원/NNG + 에/JKB
들어	들/VV + 어/EC
와	오/VX + 아/EC
32년	32/SN + 년/NNB
간	간/NNB
근무.	근무/NNG + ./SF

일에	일/NNG + 에/JKB
있어서는	있/VV + 어서/EC + 는/JX
철저히	철저히/MAG
원칙을	원칙/NNG + 을/JKO
고수해	고수/NNG + 하/XSV + 아/EC
깐깐하다는	깐깐/XR + 하/XSA + 다는/ETM
인상을	인상/NNG + 을/JKO
주지만	주/VV + 지만/EC
동료와	동료/NNG + 와/JC
부하	부하/NNG
직원들에는	직원/NNG + 들/XSN + 에/JKB + 는/JX
자상한	자상/XR + 하/XSA + ㄴ/ETM
성격.	성격/NNG + ./SF

감사원	감사원/NNG
탁구동호회	탁구/NNG + 동호회/NNG
회장을	회장/NNG + 을/JKO
맡고	맡/VV + 고/EC
있으며	있/VX + 으며/EC
탁구와	탁구/NNG + 와/JC
볼링이	볼링/NNG + 이/JKS
취미.	취미/NNG + ./SF

▴	▴/SW
전북	전북/NNP
장수·60세	장수/NNP + ·/SP + 60/SN + 세/NNB
▴	▴/SW
서울	서울/NNP
법대	법대/NNG
졸	졸/NNG
▴	▴/SW
감사원	감사원/NNG
심의실장	심의실장/NNG
▴	▴/SW
감사원	감사원/NNG
4-5-2국장	4/SN + -/SS + 5/SN + -/SS + 2/SN + 국장/NNG
▴	▴/SW
홍조근정훈장	홍조/NNG + 근정훈장/NNG

법제처에	법제처/NNG + 에/JKB
잠시	잠시/MAG
근무한	근무/NNG + 하/XSV + ㄴ/ETM
것을	것/NNB + 을/JKO
제외하곤	제외/NNG + 하/XSV + 곤/EC
줄곧	줄곧/MAG
총무처에만	총무처/NNG + 에/JKB + 만/JX
근무해	근무/NNG + 하/XSV + 아/EC
온	오/VX + ㄴ/ETM
정부의	정부/NNG + 의/JKG
살림꾼.	살림/NNG + 꾼/XSN + ./SF

87년	87/SN + 년/NNB
민원	민원/NNG
처리	처리/NNG
절차	절차/NNG
간소화를	간소/XR + 화/XSN + 를/JKO
위한	위하/VV + ㄴ/ETM
행정절차법	행정/NNG + 절차법/NNG
제정의	제정/NNG + 의/JKG
실무	실무/NNG
책임자를	책임자/NNG + 를/JKO
맡기도	맡/VV + 기/ETN + 도/JX
했다.	하/VX + 았/EP + 다/EF + ./SF

부산	부산/NNP
시장으로	시장/NNG + 으로/JKB
자리를	자리/NNG + 를/JKO
옮김으로써	옮기/VV + ㅁ/ETN + 으로써/JKB
공직생활	공직/NNG + 생활/NNG
중	중/NNB
첫	첫/MM
'외도'를	'/SS + 외도/NNG + '/SS + 를/JKO
하는	하/VV + 는/ETM
셈.	셈/NNB + ./SF

▴	▴/SW
부산·53세	부산/NNP + ·/SP + 53/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
법대	법대/NNG
졸	졸/NNG
▴	▴/SW
총무처	총무처/NNG
행정관리국장	행정/NNG + 관리/NNG + 국장/NNG
▴	▴/SW
소청	소청/NNG
심사	심사/NNG
위원장	위원장/NNG

제	제/XPN
3세계의	3/SN + 세계/NNG + 의/JKG
종속	종속/NNG
이론을	이론/NNG + 을/JKO
국내에	국내/NNG + 에/JKB
도입한	도입/NNG + 하/XSV + ㄴ/ETM
정치학	정치학/NNG
교수	교수/NNG
출신.	출신/NNG + ./SF

88년	88/SN + 년/NNB
대통령	대통령/NNG
정무	정무/NNG
비서관으로	비서관/NNG + 으로/JKB
관계에	관계/NNG + 에/JKB
들어와	들어오/VV + 아/EC
당-정,	당/NNG + -/SS + 정/NNG + ,/SP
정국	정국/NNG
운영,	운영/NNG + ,/SP
학계와	학/NNG + 계/XSN + 와/JC
여성,	여성/NNG + ,/SP
평통분야	평통/NNG + 분야/NNG
등을	등/NNB + 을/JKO
두루	두루/MAG
맡았다.	맡/VV + 았/EP + 다/EF + ./SF

남북	남북/NNP
고위급	고위급/NNG
회담	회담/NNG
예비	예비/NNG
대표로도	대표/NNG + 로/JKB + 도/JX
활약.	활약/NNG + ./SF

부인	부인/NNG
이종숙씨(44)는	이종숙/NNP + 씨/NNB + (/SS + 44/SN + )/SS + 는/JX
덕성여대	덕성여대/NNP
교수	교수/NNG
▴	▴/SW
충남	충남/NNP
논산·49세	논산/NNP + ·/SP + 49/SN + 세/NNB
▴	▴/SW
경희대	경희대/NNP
정외과	정외과/NNG
졸	졸/NNG
▴	▴/SW
경남대	경남대/NNP
극동	극동/NNP
문제연구소장겸	문제/NNG + 연구소장/NNG + 겸/NNB
교수	교수/NNG

성격이	성격/NNG + 이/JKS
모나지	모나/VA + 지/EC
않은	않/VX + 은/ETM
정통	정통/NNG
농정관료.86년	농정/NNG + 관료/NNG + ./SF + 86/SN + 년/NNB

농림수산부	농림수산부/NNG
1차관보시절	1/SN + 차관보/NNG + 시절/NNG
9년	9/SN + 년/NNB
연속	연속/NNG
풍년	풍년/NNG
달성의	달성/NNG + 의/JKG
주역으로	주역/NNG + 으로/JKB
성가를	성가/NNG + 를/JKO
높이기도	높이/VV + 기/ETN + 도/JX
했다.	하/VX + 았/EP + 다/EF + ./SF

등산으로	등산/NNG + 으로/JKB
다진	다지/VV + ㄴ/ETM
왕성한	왕성/NNG + 하/XSA + ㄴ/ETM
체력이	체력/NNG + 이/JKS
자랑.	자랑/NNG + ./SF

부인	부인/NNG
홍선자씨(51)와	홍선자/NNP + 씨/NNB + (/SS + 51/SN + )/SS + 와/JC
2남	2/SN + 남/NNG
1녀.	1/SN + 녀/NNG + ./SF

▴	▴/SW
충남	충남/NNP
부여·58세	부여/NNP + ·/SP + 58/SN + 세/NNB
▴	▴/SW
홍익대	홍익대/NNP
법정	법정/NNG
학부	학부/NNG
▴	▴/SW
농수산부	농수산부/NNG
농업개발국장	농업/NNG + 개발국장/NNG
▴	▴/SW
청와대	청와대/NNP
정무	정무/NNG
비서관	비서관/NNG
▴	▴/SW
농촌	농촌/NNG
진흥청장	진흥청장/NNG

경남도청	경남도청/NNP
주사로	주사/NNG + 로/JKB
출발,	출발/NNG + ,/SP
승진을	승진/NNG + 을/JKO
거듭해	거듭/MAG + 하/XSV + 아/EC
33년만에	33/SN + 년/NNB + 만/JX + 에/JKB
도백이	도백/NNG + 이/JKC
됐다.	되/VV + 었/EP + 다/EF + ./SF

지난	지나/VV + ㄴ/ETM
85년부터	85/SN + 년/NNB + 부터/JX
3년	3/SN + 년/NNB
간	간/NNB
민정당	민정당/NNP
경남도지부	경남도/NNP + 지부/NNG
사무국장으로	사무국장/NNG + 으로/JKB
'외도'한	'/SS + 외도/NNG + '/SS + 하/XSV + ㄴ/ETM
것을	것/NNB + 을/JKO
빼곤	빼/VV + 곤/EC
줄곧	줄곧/MAG
재정	재정/NNG
분야에서	분야/NNG + 에서/JKB
일했다.	일/NNG + 하/XSV + 았/EP + 다/EF + ./SF

조용조용한	조용조용/MAG + 하/XSV + ㄴ/ETM
말투에	말투/NNG + 에/JKB
소탈한	소탈/NNG + 하/XSA + ㄴ/ETM
성품.	성품/NNG + ./SF

부인	부인/NNG
강수미	강수미/NNP
여사(51)와	여사/NNG + (/SS + 51/SN + )/SS + 와/JC
1남	1/SN + 남/NNG
