"내일	"/SS + 내일/NNG
가능성을	가능/NNG + 성/XSN + 을/JKO
다시	다시/MAG
한	한/MM
번	번/NNB
확인해	확인/NNG + 하/XSV + 아/EC
주었다.	주/VX + 었/EP + 다/EF + ./SF

'필승	'/SS + 필승/NNG
코리아'의	코리아/NNP + '/SS + 의/JKG
외침처럼	외침/NNG + 처럼/JKB
모든	모든/MM
국민이	국민/NNG + 이/JKS
하나가	하나/NR + 가/JKC
되어	되/VV + 어/EC
우리	우리/NP
경제의	경제/NNG + 의/JKG
펀더멘털을	펀더멘털/NNG + 을/JKO
강화해	강화/NNG + 하/XSV + 아/EC
나간다면	나가/VX + ㄴ다면/EC
꿈은	꿈/NNG + 은/JX
이루어질	이루어지/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

구약성서에서	구약성서/NNP + 에서/JKB
가나안	가나안/NNP
땅을	땅/NNG + 을/JKO
수복하는	수복/NNG + 하/XSV + 는/ETM
벤자민족의	벤자민족/NNP + 의/JKG
전투	전투/NNG
이야기가	이야기/NNG + 가/JKS
나온다.	나오/VV + ㄴ다/EF + ./SF

모두	모두/MAG
2만6700명이	2/SN + 만/NR + 6700/SN + 명/NNB + 이/JKS
모여	모이/VV + 어/EC
싸우는데	싸우/VV + 는데/EC
그중	그중/NNG
700명이	700/SN + 명/NNB + 이/JKS
왼손잡이로	왼손잡이/NNG + 로/JKB
이들이	이/NP + 들/XSN + 이/JKS
투석을	투석/NNG + 을/JKO
하는데	하/VV + 는데/EC
한가닥	한/MM + 가닥/NNG
털도	털/NNG + 도/JX
명중에서	명중/NNG + 에서/JKB
벗어나지	벗어나/VV + 지/EC
않았다	않/VX + 았/EP + 다/EC
했다.	하/VV + 았/EP + 다/EF + ./SF

그	그/MM
비율로	비율/NNG + 로/JKB
보아	보/VV + 아/EC
왼손잡이는	왼손잡이/NNG + 는/JX
3%의	3/SN + %/SW + 의/JKG
소수였음을	소수/NNG + 이/VCP + 었/EP + 음/ETN + 을/JKO
알	알/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

석기시대로	석기/NNG + 시대/NNG + 로/JKB
소급,	소급/NNG + ,/SP
원시인이	원시인/NNG + 이/JKS
썼던	쓰/VV + 었/EP + 던/ETM
석기	석기/NNG
354개를	354/SN + 개/NNB + 를/JKO
분석했더니	분석/NNG + 하/XSV + 았/EP + 더니/EC
왼손잡이와	왼손잡이/NNG + 와/JC
오른손잡이가	오른손잡이/NNG + 가/JKS
동수였던	동수/NNP + 이/VCP + 었/EP + 던/ETM
것이,	것/NNB + 이/JKS + ,/SP
청동기시대	청동기/NNG + 시대/NNG
이래로	이래/NNB + 로/JKB
왼손잡이가	왼손잡이/NNG + 가/JKS
상대적으로	상대/NNG + 적/XSN + 으로/JKB
줄어	줄/VV + 어/EC
오늘에	오늘/NNG + 에/JKB
이르렀다	이르/VV + 었/EP + 다/EC
한다.	하/VV + ㄴ다/EF + ./SF

알렉산더	알렉산더/NNP
대왕이	대왕/NNG + 이/JKS
정복한	정복/NNG + 하/XSV + ㄴ/ETM
한	한/MM
나라는	나라/NNG + 는/JX
전	전/MM
국민이	국민/NNG + 이/JKS
왼손잡이였다는	왼손잡이/NNG + 이/VCP + 었/EP + 다는/ETM
기록도	기록/NNG + 도/JX
없지	없/VA + 지/EC
않으나	않/VX + 으나/EC
지금은	지금/NNG + 은/JX
왼손잡이를	왼손잡이/NNG + 를/JKO
전	전/MM
인류의	인류/NNG + 의/JKG
4%로	4/SN + %/SW + 로/JKB
잡는	잡/VV + 는/ETM
것이	것/NNB + 이/JKS
상식이	상식/NNG + 이/JKC
돼있다.	되/VV + 어/EC + 있/VX + 다/EF + ./SF

운명의	운명/NNG + 의/JKG
여신은	여신/NNG + 은/JX
생명의	생명/NNG + 의/JKG
실을	실/NNG + 을/JKO
오른손에	오른손/NNG + 에/JKB
들고	들/VV + 고/EC
있고,	있/VX + 고/EC + ,/SP
사냥의	사냥/NNG + 의/JKG
신인	신/NNG + 이/VCP + ㄴ/ETM
아르테미스는	아르테미스/NNP + 는/JX
활을	활/NNG + 을/JKO
오른손에	오른손/NNG + 에/JKB
들고	들/VV + 고/EC
있으며,	있/VX + 으며/EC + ,/SP
아마존의	아마존/NNP + 의/JKG
여인들도	여인/NNG + 들/XSN + 도/JX
오른손으로	오른손/NNG + 으로/JKB
활을	활/NNG + 을/JKO
쏘고자	쏘/VV + 고자/EC
하여	하/VX + 아/EC
방해	방해/NNG
되는	되/VV + 는/ETM
오른쪽	오른쪽/NNG
유방을	유방/NNG + 을/JKO
잘라냈다.	잘/VA + 라/EC + 내/VX + 었/EP + 다/EF + ./SF

인간은	인간/NNG + 은/JX
생명의	생명/NNG + 의/JKG
원천인	원천/NNG + 이/VCP + ㄴ/ETM
심장이	심장/NNG + 이/JKS
왼쪽	왼쪽/NNG
가슴에	가슴/NNG + 에/JKB
있다는	있/VV + 다는/ETM
것을	것/NNB + 을/JKO
태고적부터	태고/NNG + 적/XSN + 부터/JX
알았을	알/VV + 았/EP + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그리하여	그리하여/MAJ
야수와	야수/NNG + 와/JKB
싸울	싸우/VV + ㄹ/ETM
때	때/NNG
왼손으로	왼손/NNG + 으로/JKB
방패를	방패/NNG + 를/JKO
들어	들/VV + 어/EC
심장을	심장/NNG + 을/JKO
지키고	지키/VV + 고/EC
오른손으로	오른손/NNG + 으로/JKB
창이나	창/NNG + 이나/JC
칼을	칼/NNG + 을/JKO
들고	들/VV + 고/EC
싸웠을	싸우/VV + 었/EP + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그것이	그것/NP + 이/JKS
오랜	오랜/MM
시간	시간/NNG
동안	동안/NNG
체질화되어	체질/NNG + 화/XSN + 되/XSV + 어/EC
대다수를	대다수/NNG + 를/JKO
오른손잡이로	오른손잡이/NNG + 로/JKB
만들었을	만들/VV + 었/EP + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그리하여	그리하여/MAJ
오른쪽이	오른쪽/NNG + 이/JKS
바르고	바르/VA + 고/EC
왼쪽이	왼쪽/NNG + 이/JKS
그르다는	그르/VA + 다는/ETM
오른손	오른손/NNG
우세문화가	우세/NNG + 문화/NNG + 가/JKS
동서를	동서/NNG + 를/JKO
지배해	지배/NNG + 하/XSV + 아/EC
왔지만,	오/VX + 았/EP + 지만/EC + ,/SP
저명	저명/NNG
예술가	예술가/NNG
가운데는	가운데/NNG + 는/JX
왼손잡이가	왼손잡이/NNG + 가/JKS
많아	많/VA + 아/EC
예능자질의	예능/NNG + 자질/NNG + 의/JKG
두뇌구조와	두뇌/NNG + 구조/NNG + 와/JC
왼손잡이	왼손잡이/NNG
사이에	사이/NNG + 에/JKB
상관이	상관/NNG + 이/JKS
있다고	있/VV + 다고/EC
보는	보/VX + 는/ETM
학자도	학자/NNG + 도/JX
있다.	있/VV + 다/EF + ./SF

르네상스	르네상스/NNG
예술을	예술/NNG + 을/JKO
지배했던	지배/NNG + 하/XSV + 았/EP + 던/ETM
레오나르도	레오나르도/NNP
다빈치와	다빈치/NNP + 와/JC
미켈란젤로는	미켈란젤로/NNP + 는/JX
전형적	전형/NNG + 적/XSN
왼손잡이요,	왼손잡이/NNG + 이/VCP + 요/EC + ,/SP
괴테·하이네·니체·안데르센	괴테/NNP + ·/SP + 하이네/NNP + ·/SP + 니체/NNP + ·/SP + 안데르센/NNP
그리고	그리고/MAJ
베토벤·슈만·라벨·채플린도	베토벤/NNP + ·/SP + 슈만/NNP + ·/SP + 라벨/NNP + ·/SP + 채플린/NNP + 도/JX
왼손잡이다.	왼손잡이/NNG + 이/VCP + 다/EF + ./SF

미국의	미국/NNP + 의/JKG
전	전/MM
대통령인	대통령/NNG + 이/VCP + ㄴ/ETM
부시	부시/NNP
그리고	그리고/MAJ
클린턴도	클린턴/NNP + 도/JX
왼손잡이요,	왼손잡이/NNG + 이/VCP + 요/EC + ,/SP
포드는	포드/NNP + 는/JX
연단에서	연단/NNG + 에서/JKB
곧잘	곧잘/MAG
비틀거렸는데	비틀거리/VV + 었/EP + 는데/EC
몸에	몸/NNG + 에/JKB
이상이	이상/NNG + 이/JKS
있어서가	있/VV + 어서/EC + 가/JKC
아니라,	아니/VCN + 라/EC + ,/SP
왼손잡이인데	왼손잡이/NNG + 이/VCP + ㄴ데/EC
오른손잡이	오른손잡이/NNG
행동을	행동/NNG + 을/JKO
강요	강요/NNG
받았기	받/VV + 았/EP + 기/ETN
때문이었다.	때문/NNB + 이/VCP + 었/EP + 다/EF + ./SF

오른손잡이	오른손잡이/NNG
위주로	위주/NNG + 로/JKB
구조화된	구조/NNG + 화/XSN + 되/XSV + ㄴ/ETM
사회에서	사회/NNG + 에서/JKB
왼손잡이는	왼손잡이/NNG + 는/JX
오른손잡이보다	오른손잡이/NNG + 보다/JKB
자동차	자동차/NNG
사고는	사고/NNG + 는/JX
55%,	55/SN + %/SW + ,/SP
도구를	도구/NNG + 를/JKO
쓰다가	쓰/VV + 다가/EC
다칠	다치/VV + ㄹ/ETM
확률은	확률/NNG + 은/JX
54%,	54/SN + %/SW + ,/SP
가사(家事)에서	가사/NNG + (/SS + 家事/SH + )/SS + 에서/JKB
다칠	다치/VV + ㄹ/ETM
확률은	확률/NNG + 은/JX
49%나	49/SN + %/SW + 나/JX
높다	높/VA + 다/EC
한다.	하/VX + ㄴ다/EF + ./SF

국회에서는	국회/NNG + 에서/JKB + 는/JX
일상	일상/NNG
속에서	속/NNG + 에서/JKB
왼손잡이의	왼손잡이/NNG + 의/JKG
구조적	구조/NNG + 적/XSN
불편을	불편/NNG + 을/JKO
해소하고	해소/NNG + 하/XSV + 고/EC
왼손잡이용	왼손잡이/NNG + 용/XSN
물품을	물품/NNG + 을/JKO
생산하게끔	생산/NNG + 하/XSV + 게끔/EC
산업에	산업/NNG + 에/JKB
인센티브를	인센티브/NNG + 를/JKO
주는	주/VV + 는/ETM
등의	등/NNB + 의/JKG
법개정을	법/NNG + 개정/NNG + 을/JKO
서둘고	서둘/VV + 고/EC
있다는	있/VX + 다는/ETM
보도가	보도/NNG + 가/JKS
있었다.	있/VV + 었/EP + 다/EF + ./SF

미국처럼	미국/NNP + 처럼/JKB
왼손잡이	왼손잡이/NNG
상품	상품/NNG
전매의	전매/NNG + 의/JKG
전국적	전국/NNG + 적/XSN
체인이	체인/NNG + 이/JKS
형성되도록	형성/NNG + 되/XSV + 도록/EC
마스터	마스터/NNG
플랜	플랜/NNG
아래	아래/NNG
법을	법/NNG + 을/JKO
다듬어	다듬/VV + 어/EC
나갔으면	나가/VX + 았/EP + 으면/EC
한다.	하/VX + ㄴ다/EF + ./SF

얼마	얼마/NNG
전	전/NNG
서울의	서울/NNP + 의/JKG
한	한/MM
여자대학교에서	여자/NNG + 대학교/NNG + 에서/JKB
전국	전국/NNG
고교생	고교/NNG + 생/XSN
백일장	백일장/NNG
대회를	대회/NNG + 를/JKO
열었다.	열/VV + 었/EP + 다/EF + ./SF

전국에서	전국/NNG + 에서/JKB
1000여명의	1000/SN + 여/XSN + 명/NNB + 의/JKG
고교생이	고교/NNG + 생/XSN + 이/JKS
참가했다는데,	참가/NNG + 하/XSV + 았/EP + 다는데/EC + ,/SP
그	그/MM
대학은	대학/NNG + 은/JX
학생	학생/NNG
1인당	1/SN + 인/NNG + 당/XSN
1만5000원의	1/SN + 만/NR + 5000/SN + 원/NNB + 의/JKG
참가비를	참가비/NNG + 를/JKO
받았다.	받/VV + 았/EP + 다/EF + ./SF

하긴	하긴/MAJ
지난	지나/VV + ㄴ/ETM
봄	봄/NNG
백일장을	백일장/NNG + 을/JKO
연	열/VV + ㄴ/ETM
서울의	서울/NNP + 의/JKG
또다른	또/MAG + 다른/MM
여자대학교도	여자/NNG + 대학교/NNG + 도/JX
접수비	접수비/NNG
3000원을	3000/SN + 원/NNB + 을/JKO
받았다.	받/VV + 았/EP + 다/EF + ./SF

7월	7/SN + 월/NNB
말	말/NNG
전국	전국/NNG
고등학생	고등학생/NNG
경시대회를	경시/NNG + 대회/NNG + 를/JKO
개최하는	개최/NNG + 하/XSV + 는/ETM
어떤	어떤/MM
대학교의	대학교/NNG + 의/JKG
참가비는	참가비/NNG + 는/JX
2만원(정보경시대회는	2/SN + 만/NR + 원/NNB + (/SS + 정보/NNG + 경시/NNG + 대회/NNG + 는/JX
3만원)이었다.	3/SN + 만/NR + 원/NNB + )/SS + 이/VCP + 었/EP + 다/EF + ./SF

참가비는	참가비/NNG + 는/JX
미술실기대회(사생대회)	미술/NNG + 실기/NNG + 대회/NNG + (/SS + 사생/NNG + 대회/NNG + )/SS
쪽으로	쪽/NNB + 으로/JKB
시선을	시선/NNG + 을/JKO
돌려보면	돌리/VV + 어/EC + 보/VX + 면/EC
더욱	더욱/MAG
단가가	단가/NNG + 가/JKS
올라간다.	올라가/VV + ㄴ다/EF + ./SF

서울	서울/NNP
소재	소재/NNG
대학의	대학/NNG + 의/JKG
경우	경우/NNG
4만~5만원,	4/SN + 만/NR + ~/SO + 5/SN + 만/NR + 원/NNB + ,/SP
지방대학에서도	지방/NNG + 대학/NNG + 에서/JKB + 도/JX
보통	보통/NNG
2만~3만원의	2/SN + 만/NR + ~/SO + 3/SN + 만/NR + 원/NNB + 의/JKG
참가비를	참가비/NNG + 를/JKO
내야	내/VV + 어야/EC
참가자격이	참가/NNG + 자격/NNG + 이/JKS
주어진다.	주어지/VV + ㄴ다/EF + ./SF

장삿속으로	장삿속/NNG + 으로/JKB
볼	보/VV + ㄹ/ETM
수밖에	수/NNB + 밖에/JX
없는	없/VA + 는/ETM
이런	이런/MM
대회는	대회/NNG + 는/JX
여고에서	여고/NNG + 에서/JKB
문예지도를	문예/NNG + 지도/NNG + 를/JKO
하고	하/VV + 고/EC
있는	있/VX + 는/ETM
교사의	교사/NNG + 의/JKG
한	한/MM
사람으로서	사람/NNG + 으로서/JKB
크게	크/VA + 게/EC
잘못되었다는	잘못/MAG + 되/XSV + 었/EP + 다는/ETM
생각이다.	생각/NNG + 이/VCP + 다/EF + ./SF

대학교	대학교/NNG
주관의	주관/NNG + 의/JKG
백일장이나	백일장/NNG + 이나/JC
미술실기대회의	미술/NNG + 실기/NNG + 대회/NNG + 의/JKG
또	또/MAG
다른	다른/MM
목적은	목적/NNG + 은/JX
학교홍보일	학교/NNG + 홍보/NNG + 이/VCP + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

자기	자기/NP
학교를	학교/NNG + 를/JKO
알리려면	알리/VV + 려면/EC
그만큼	그만큼/MAG
홍보비를	홍보비/NNG + 를/JKO
써야	쓰/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

당연히	당연히/MAG
대부분의	대부분/NNG + 의/JKG
대학교가	대학교/NNG + 가/JKS
그렇게	그렇/VA + 게/EC
하고	하/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

실제로	실제로/MAG
참가비	참가비/NNG
따위가	따위/NNB + 가/JKS
전혀	전혀/MAG
없는	없/VA + 는/ETM
대학교	대학교/NNG
백일장에	백일장/NNG + 에/JKB
가	가/VV + 아/EC
보면	보/VX + 면/EC
필기구와	필기구/NNG + 와/JC
점심제공은	점심/NNG + 제공/NNG + 은/JX
기본이다.	기본/NNG + 이/VCP + 다/EF + ./SF

예산을	예산/NNG + 을/JKO
많이	많이/MAG
확보했는지	확보/NNG + 하/XSV + 았/EP + 는지/EC
어느	어느/MM
대학은	대학/NNG + 은/JX
학생들에게	학생/NNG + 들/XSN + 에게/JKB
제법	제법/MAG
값	값/NNG
나가는	나가/VV + 는/ETM
기념품을	기념품/NNG + 을/JKO
주기도	주/VV + 기/ETN + 도/JX
한다.	하/VX + ㄴ다/EF + ./SF

참가비를	참가비/NNG + 를/JKO
받는	받/VV + 는/ETM
대학들의	대학/NNG + 들/XSN + 의/JKG
재정상태가	재정/NNG + 상태/NNG + 가/JKS
너무	너무/MAG
열악하여	열악/XR + 하/XSA + 아/EC
푼돈이라도	푼돈/NNG + 이/VCP + 라도/EC
챙기려는	챙기/VV + 려는/ETM
것인지	것/NNB + 이/VCP + ㄴ지/EC
잘	잘/MAG
모르겠지만	모르/VV + 겠/EP + 지만/EC
주객이	주객/NNG + 이/JKS
전도된	전도/NNG + 되/XSV + ㄴ/ETM
장삿속	장삿속/NNG
대회는	대회/NNG + 는/JX
아직	아직/MAG
가치관이	가치관/NNG + 이/JKS
미숙한	미숙/XR + 하/XSA + ㄴ/ETM
우리	우리/NP
학생들에게	학생/NNG + 들/XSN + 에게/JKB
'유전무죄	'/SS + 유전/NNG + 무/XPN + 죄/NNG
무전유죄'	무전/NNG + 유죄/NNG + '/SS
식의	식/NNB + 의/JKG
그릇된	그릇/MAG + 되/XSV + ㄴ/ETM
인식을	인식/NNG + 을/JKO
심어줄	심/VV + 어/EC + 주/VX + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

예컨대	예컨대/MAG
해당	해당/NNG
분야에	분야/NNG + 에/JKB
재능있는	재능/NNG + 있/VV + 는/ETM
학생이	학생/NNG + 이/JKS
참가비가	참가비/NNG + 가/JKS
부담이	부담/NNG + 이/JKC
돼	되/VV + 어/EC
불참하는	불참/NNG + 하/XSV + 는/ETM
경우를	경우/NNG + 를/JKO
생각해	생각/NNG + 하/XSV + 아/EC
보자.	보/VX + 자/EF + ./SF

무슨	무슨/MM
무슨	무슨/MM
자격증을	자격증/NNG + 을/JKO
따는	따/VV + 는/ETM
시험도	시험/NNG + 도/JX
아니고	아니/VCN + 고/EC
어디까지나	어디/NP + 까지/JX + 나/JX
순수한	순수/NNG + 하/XSA + ㄴ/ETM
문예실력	문예/NNG + 실력/NNG
뽐내기일	뽐내/VV + 기/ETN + 이/VCP + ㄹ/ETM
뿐인데	뿐/NNB + 이/VCP + ㄴ데/EC
돈이	돈/NNG + 이/JKS
없어	없/VA + 어/EC
아예	아예/MAG
참가조차	참가/NNG + 조차/JX
할	하/VV + ㄹ/ETM
수	수/NNB
없다면	없/VA + 다면/EC
얼마나	얼마나/MAG
잔인하고	잔인/NNG + 하/XSA + 고/EC
슬픈	슬프/VA + ㄴ/ETM
일인가.	일/NNG + 이/VCP + ㄴ가/EF + ./SF

당국에서는	당국/NNG + 에서/JKB + 는/JX
학문의	학문/NNG + 의/JKG
전당인	전당/NNG + 이/VCP + ㄴ/ETM
대학교에서	대학교/NNG + 에서/JKB
그렇듯	그렇/VA + 듯/EC
영리를	영리/NNG + 를/JKO
목적으로	목적/NNG + 으로/JKB
백일장과	백일장/NNG + 과/JC
미술실기대회를	미술/NNG + 실기/NNG + 대회/NNG + 를/JKO
개최해도	개최/NNG + 하/XSV + 아도/EC
되는지	되/VV + 는지/EC
법률적	법률/NNG + 적/XSN
검토와	검토/NNG + 와/JC
함께	함께/MAG
신속한	신속/NNG + 하/XSA + ㄴ/ETM
대응이	대응/NNG + 이/JKS
있어야	있/VV + 어야/EC
할	하/VX + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그러기	그러/VV + 기/ETN
전	전/NNG
참가비를	참가비/NNG + 를/JKO
받는	받/VV + 는/ETM
대학들의	대학/NNG + 들/XSN + 의/JKG
진지한	진지/XR + 하/XSA + ㄴ/ETM
폐지검토를	폐지/NNG + 검토/NNG + 를/JKO
촉구한다.	촉구/NNG + 하/XSV + ㄴ다/EF + ./SF

◈성별착오	◈/SW + 성/NNG + 별/XSN + 착오/NNG
행정에	행정/NNG + 에/JKB
피해	피하/VV + 아/EC

최근	최근/NNG
동사무소에서	동사무소/NNG + 에서/JKB
호적등본을	호적/NNG + 등본/NNG + 을/JKO
발급받았다.	발급/NNG + 받/VV + 았/EP + 다/EF + ./SF

그러나	그러나/MAJ
남자인	남자/NNG + 이/VCP + ㄴ/ETM
내가	내/NP + 가/JKS
여자로	여자/NNG + 로/JKB
등재돼	등재/NNG + 되/XSV + 어/EC
있었다.	있/VX + 었/EP + 다/EF + ./SF

너무	너무/MAG
황당했다.	황당/XR + 하/XSA + 았/EP + 다/EF + ./SF

동사무소에서는	동사무소/NNG + 에서/JKB + 는/JX
본적지인	본적지/NNG + 이/VCP + ㄴ/ETM
종로구청에	종로구청/NNP + 에/JKB
문의하라고	문의/NNG + 하/XSV + 라고/EC
했고,	하/VV + 았/EP + 고/EC + ,/SP
구청에서는	구청/NNG + 에서/JKB + 는/JX
서초동	서초동/NNP
법원에	법원/NNG + 에/JKB
가서	가/VV + 아서/EC
정정신고를	정정/NNG + 신고/NNG + 를/JKO
해야	하/VV + 아야/EC
한다고	하/VX + ㄴ다고/EC
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

법원	법원/NNG
담당	담당/NNG
직원은	직원/NNG + 은/JX
"정정을	"/SS + 정정/NNG + 을/JKO
하려면	하/VV + 려면/EC
남자임을	남자/NNG + 이/VCP + ㅁ/ETN + 을/JKO
증명할	증명/NNG + 하/XSV + ㄹ/ETM
병역필증을	병역필증/NNG + 을/JKO
병무청에서	병무청/NNG + 에서/JKB
발급받고	발급/NNG + 받/VV + 고/EC
보증인	보증인/NNG
2명이	2/SN + 명/NNB + 이/JKS
있어야	있/VV + 어야/EC
된다"고	되/VV + ㄴ다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

병무청	병무청/NNG
위치를	위치/NNG + 를/JKO
물어보니	물어보/VV + 니/EC
귀찮다는	귀찮/VA + 다는/ETM
듯	듯/NNB
"용산구	"/SS + 용산구/NNP
후암동에	후암동/NNP + 에/JKB
있다"고	있/VV + 다/EC + "/SS + 고/JKQ
했다.	하/VV + 았/EP + 다/EF + ./SF

불쾌했지만	불쾌/XR + 하/XSA + 았/EP + 지만/EC
신체검사를	신체검사/NNG + 를/JKO
받았던	받/VV + 았/EP + 던/ETM
기억도	기억/NNG + 도/JX
있어	있/VV + 어/EC
후암동으로	후암동/NNP + 으로/JKB
향했다.	향하/VV + 았/EP + 다/EF + ./SF

그러나	그러나/MAJ
병무청	병무청/NNG
건물은	건물/NNG + 은/JX
없었다.	없/VA + 었/EP + 다/EF + ./SF

행인에게	행인/NNG + 에게/JKB
물어보니	물어보/VV + 니/EC
오래	오래/MAG
전에	전/NNG + 에/JKB
이전했다고	이전/NNG + 하/XSV + 았/EP + 다고/EC
한다.	하/VV + ㄴ다/EF + ./SF

물어물어	물어물어/MAG
간신히	간신히/MAG
신길동으로	신길동/NNP + 으로/JKB
이전한	이전/NNG + 하/XSV + ㄴ/ETM
병무청을	병무청/NNG + 을/JKO
찾았으나,	찾/VV + 았/EP + 으나/EC + ,/SP
접수	접수/NNG
1시간20분	1/SN + 시간/NNB + 20/SN + 분/NNB
만에야	만/NNB + 에/JKB + 야/JX
병역필증을	병역필증/NNG + 을/JKO
받을	받/VV + 을/ETM
수	수/NNB
있었다.	있/VV + 었/EP + 다/EF + ./SF

다시	다시/MAG
법원으로	법원/NNG + 으로/JKB
가기엔	가/VV + 기/ETN + 에/JKB + ㄴ/JX
시간이	시간/NNG + 이/JKS
늦어	늦/VA + 어/EC
다음날에야	다음날/NNG + 에/JKB + 야/JX
일을	일/NNG + 을/JKO
마무리할	마무리/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있었다.	있/VV + 었/EP + 다/EF + ./SF

이틀	이틀/NNG
동안	동안/NNG
직장을	직장/NNG + 을/JKO
빠지고	빠지/VV + 고/EC
일처리에	일/NNG + 처리/NNG + 에/JKB
매달리면서	매달리/VV + 면서/EC
단	단/MM
한	한/MM
사람의	사람/NNG + 의/JKG
신중하지	신중/NNG + 하/XSA + 지/EC
못한	못하/VX + ㄴ/ETM
업무	업무/NNG
처리로	처리/NNG + 로/JKB
피해를	피해/NNG + 를/JKO
봤다는	보/VV + 았/EP + 다는/ETM
생각에	생각/NNG + 에/JKB
억울했다.	억울/XR + 하/XSA + 았/EP + 다/EF + ./SF

출생신고	출생/NNG + 신고/NNG
때	때/NNG
분명	분명/MAG
남녀를	남녀/NNG + 를/JKO
구분했을	구분/NNG + 하/XSV + 았/EP + 을/ETM
텐데	터/NNB + 이/VCP + ㄴ데/EC
어떻게	어떻/VA + 게/EC
여자로	여자/NNG + 로/JKB
돼	되/VV + 어/EC
있고,	있/VX + 고/EC + ,/SP
또	또/MAG
주민등록에는	주민/NNG + 등록/NNG + 에/JKB + 는/JX
남자로	남자/NNG + 로/JKB
처리돼	처리/NNG + 되/XSV + 어/EC
병역까지	병역/NNG + 까지/JX
마칠	마치/VV + ㄹ/ETM
수	수/NNB
있었단	있/VV + 었/EP + 단/ETM
말인가.	말/NNG + 이/VCP + ㄴ가/EF + ./SF

실수는	실수/NNG + 는/JX
공무원이	공무원/NNG + 이/JKS
해	하/VV + 아/EC
놓고	놓/VX + 고/EC
일처리는	일/NNG + 처리/NNG + 는/JX
피해를	피해/NNG + 를/JKO
본	보/VV + ㄴ/ETM
시민이	시민/NNG + 이/JKS
모두	모두/MAG
떠맡아야	떠맡/VV + 아야/EC
하는가.	하/VX + 는가/EF + ./SF

/조용원	//SP + 조용원/NNP
32·회사원·인천시	32/SN + ·/SP + 회사원/NNG + ·/SP + 인천시/NNP
남구	남구/NNP

◈빛바랜	◈/SW + 빛바래/VA + ㄴ/ETM
은행	은행/NNG
서비스정신	서비스/NNG + 정신/NNG

지난	지나/VV + ㄴ/ETM
3월	3/SN + 월/NNB
14일	14/SN + 일/NNB
96년식	96/SN + 년/NNB + 식/NNB
쏘나타Ⅱ	쏘나타/NNG + Ⅱ/SW
중고	중고/NNG
자동차를	자동차/NNG + 를/JKO
구입했다.	구입/NNG + 하/XSV + 았/EP + 다/EF + ./SF

지난달	지난달/NNG
자동차세	자동차세/NNG
고지서가	고지서/NNG + 가/JKS
날아왔는데,	날아오/VV + 았/EP + 는데/EC + ,/SP
올	올/MM
1월	1/SN + 월/NNB
1일부터	1/SN + 일/NNB + 부터/JX
6월	6/SN + 월/NNB
30일까지의	30/SN + 일/NNB + 까지/JX + 의/JKG
세금이라며	세금/NNG + 이/VCP + 라며/EC
17만원	17/SN + 만/NR + 원/NNB
정도가	정도/NNG + 가/JKS
나왔다.	나오/VV + 았/EP + 다/EF + ./SF

일단	일단/MAG
세금을	세금/NNG + 을/JKO
모두	모두/MAG
납부하고	납부/NNG + 하/XSV + 고/EC
"불과	"/SS + 불과/MAG
3개월	3/SN + 개월/NNB
남짓	남짓/NNB
사용했는데	사용/NNG + 하/XSV + 았/EP + 는데/EC
40%나	40/SN + %/SW + 나/JX
세금을	세금/NNG + 을/JKO
더	더/MAG
낸	내/VV + ㄴ/ETM
것	것/NNB
아니냐"고	아니/VCN + 냐/EC + "/SS + 고/JKQ
담당자에게	담당자/NNG + 에게/JKB
문의했다.	문의/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그러나	그러나/MAJ
노원구청	노원구청/NNP
담당자는	담당자/NNG + 는/JX
"차량을	"/SS + 차량/NNG + 을/JKO
등록할	등록/NNG + 하/XSV + ㄹ/ETM
때	때/NNG
자동차세	자동차세/NNG
승계	승계/NNG
문제에	문제/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
의사를	의사/NNG + 를/JKO
전달해야	전달/NNG + 하/XSV + 아야/EC
하는데	하/VX + 는데/EC
안	안/MAG
했기	하/VV + 았/EP + 기/ETN
때문에	때문/NNB + 에/JKB
그렇다"고	그렇/VA + 다/EC + "/SS + 고/JKQ
했다.	하/VV + 았/EP + 다/EF + ./SF

"이제	"/SS + 이제/MAG
내	나/NP + 의/JKG
의사를	의사/NNG + 를/JKO
알았으니	알/VV + 았/EP + 으니/EC
