엊그제	엊그제/NNG
자유로운	자유/NNG + 롭/XSA + ㄴ/ETM
시장에서도	시장/NNG + 에서/JKB + 도/JX
새로운	새롭/VA + ㄴ/ETM
기업이	기업/NNG + 이/JKS
이미	이미/MAG
자리잡은	자리/NNG + 잡/VV + 은/ETM
기업들과	기업/NNG + 들/XSN + 과/JKB
경쟁하는	경쟁/NNG + 하/XSV + 는/ETM
것은	것/NNB + 은/JX
쉽지	쉽/VA + 지/EC
않다.	않/VX + 다/EF + ./SF

만일	만일/NNG
이미	이미/MAG
터를	터/NNG + 를/JKO
잡은	잡/VV + 은/ETM
재벌에	재벌/NNG + 에/JKB
속한	속하/VV + ㄴ/ETM
기업들은	기업/NNG + 들/XSN + 은/JX
정부에서	정부/NNG + 에서/JKB
보조금을	보조금/NNG + 을/JKO
주고,	주/VV + 고/EC + ,/SP
새로	새로/MAG
참여하려는	참여/NNG + 하/XSV + 려는/ETM
개인	개인/NNG
기업들은	기업/NNG + 들/XSN + 은/JX
여러	여러/MM
기업들의	기업/NNG + 들/XSN + 의/JKG
추천을	추천/NNG + 을/JKO
받았다는	받/VV + 았/EP + 다는/ETM
증명서를	증명서/NNG + 를/JKO
내고	내/VV + 고/EC
적지	적/VA + 지/EC
않은	않/VX + 은/ETM
공탁금을	공탁금/NNG + 을/JKO
걸어야	걸/VV + 어야/EC
된다면,	되/VV + ㄴ다면/EC + ,/SP
우리	우리/NP
경제는	경제/NNG + 는/JX
어떻게	어떻/VA + 게/EC
될까.	되/VV + ㄹ까/EF + ./SF

정치적	정치/NNG + 적/XSN
시장에서	시장/NNG + 에서/JKB
경쟁을	경쟁/NNG + 을/JKO
제한하는	제한/NNG + 하/XSV + 는/ETM
또	또/MAG
하나의	하나/NR + 의/JKG
장치는	장치/NNG + 는/JX
선거	선거/NNG
활동의	활동/NNG + 의/JKG
제한이다.	제한/NNG + 이/VCP + 다/EF + ./SF

선거	선거/NNG
활동은	활동/NNG + 은/JX
정치적	정치/NNG + 적/XSN
시장에서의	시장/NNG + 에서/JKB + 의/JKG
광고다.	광고/NNG + 이/VCP + 다/EF + ./SF

광고가	광고/NNG + 가/JKS
없으면,	없/VA + 으면/EC + ,/SP
상품에	상품/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
정보가	정보/NNG + 가/JKS
유통되지	유통/NNG + 되/XSV + 지/EC
않아서,	않/VX + 아서/EC + ,/SP
생산자들과	생산자/NNG + 들/XSN + 과/JC
소비자들이	소비자/NNG + 들/XSN + 이/JKS
함께	함께/MAG
손해를	손해/NNG + 를/JKO
본다.	보/VV + ㄴ다/EF + ./SF

광고의	광고/NNG + 의/JKG
제한이	제한/NNG + 이/JKS
새로운	새롭/VA + ㄴ/ETM
기업들과	기업/NNG + 들/XSN + 과/JC
제품들이	제품/NNG + 들/XSN + 이/JKS
나오는	나오/VV + 는/ETM
것을	것/NNB + 을/JKO
어렵게	어렵/VA + 게/EC
하여	하/VX + 아/EC
이미	이미/MAG
자리잡은	자리/NNG + 잡/VV + 은/ETM
기업들과	기업/NNG + 들/XSN + 과/JC
제품들을	제품/NNG + 들/XSN + 을/JKO
돕는	돕/VV + 는/ETM
것처럼,	것/NNB + 처럼/JKB + ,/SP
선거	선거/NNG
활동의	활동/NNG + 의/JKG
제한은	제한/NNG + 은/JX
새로운	새롭/VA + ㄴ/ETM
인물들에	인물/NNG + 들/XSN + 에/JKB
관한	관하/VV + ㄴ/ETM
정보를	정보/NNG + 를/JKO
투표자들이	투표자/NNG + 들/XSN + 이/JKS
얻기	얻/VV + 기/ETN
어렵게	어렵/VA + 게/EC
하여	하/VX + 아/EC
이미	이미/MAG
이름이	이름/NNG + 이/JKS
알려진	알리/VV + 어/EC + 지/VX + ㄴ/ETM
정치자들을	정치자/NNG + 들/XSN + 을/JKO
돕는다.	돕/VV + 는다/EF + ./SF

그런	그런/MM
상태에서는	상태/NNG + 에서/JKB + 는/JX
정치가가	정치가/NNG + 가/JKC
되려는	되/VV + 려는/ETM
사람들의	사람/NNG + 들/XSN + 의/JKG
운명은	운명/NNG + 은/JX
시민들에	시민/NNG + 들/XSN + 에/JKB
의해	의하/VV + 아/EC
투표에서	투표/NNG + 에서/JKB
결정되는	결정/NNG + 되/XSV + 는/ETM
것이	것/NNB + 이/JKC
아니라,	아니/VCN + 라/EC + ,/SP
정당들은	정당/NNG + 들/XSN + 은/JX
장악한	장악/NNG + 하/XSV + ㄴ/ETM
사람들에	사람/NNG + 들/XSN + 에/JKB
의해	의하/VV + 아/EC
추천	추천/NNG
과정에서	과정/NNG + 에서/JKB
미리	미리/MAG
결정된다.	결정/NNG + 되/XSV + ㄴ다/EF + ./SF

정당의	정당/NNG + 의/JKG
추천을	추천/NNG + 을/JKO
받지	받/VV + 지/EC
못한	못하/VX + ㄴ/ETM
사람들의	사람/NNG + 들/XSN + 의/JKG
설	서/VV + ㄹ/ETM
땅은	땅/NNG + 은/JX
없다.	없/VA + 다/EF + ./SF

자연히	자연히/MAG
정당을	정당/NNG + 을/JKO
장악한	장악/NNG + 하/XSV + ㄴ/ETM
몇	몇/MM
사람들	사람/NNG + 들/XSN
둘레로	둘레/NNG + 로/JKB
정치가들이	정치가/NNG + 들/XSN + 이/JKS
몰리는	몰리/VV + 는/ETM
'인맥	'/SS + 인맥/NNG
정치'가	정치/NNG + '/SS + 가/JKS
나온다.	나오/VV + ㄴ다/EF + ./SF

그런	그런/MM
불완전	불/XPN + 완전/NNG
경쟁	경쟁/NNG
상태에서	상태/NNG + 에서/JKB
나오는	나오/VV + 는/ETM
폐해들은	폐해/NNG + 들/XSN + 은/JX
아주	아주/MAG
크다.	크/VA + 다/EF + ./SF

'정치헌금'이라는	'/SS + 정치/NNG + 헌금/NNG + '/SS + 이/VCP + 라는/ETM
떳떳지	떳떳/XR + 하/XSA + 지/EC
못한	못하/VX + ㄴ/ETM
거래,	거래/NNG + ,/SP
유권자들의	유권자/NNG + 들/XSN + 의/JKG
선택	선택/NNG
폭의	폭/NNG + 의/JKG
축소,	축소/NNG + ,/SP
재능과	재능/NNG + 과/JC
소신이	소신/NNG + 이/JKS
있는	있/VV + 는/ETM
정치가들의	정치가/NNG + 들/XSN + 의/JKG
부족,	부족/NNG + ,/SP
그리고	그리고/MAJ
'정책대결'의	'/SS + 정책/NNG + 대결/NNG + '/SS + 의/JKG
부재와	부재/NNG + 와/JKB
같은	같/VA + 은/ETM
것들은	것/NNB + 들/XSN + 은/JX
모두	모두/MAG
큰	크/VA + ㄴ/ETM
폐해들이다.	폐해/NNG + 들/XSN + 이/VCP + 다/EF + ./SF

그것들에	그것/NP + 들/XSN + 에/JKB
비기면,	비기/VV + 면/EC + ,/SP
참여가	참여/NNG + 가/JKS
쉬운	쉽/VA + ㄴ/ETM
선거에서	선거/NNG + 에서/JKB
나온다고	나오/VV + ㄴ다고/EC
일컬어지는	일컫/VV + 어/EC + 지/VX + 는/ETM
폐해들은	폐해/NNG + 들/XSN + 은/JX
무시해도	무시/NNG + 하/XSV + 아도/EC
좋을	좋/VA + 을/ETM
만큼	만큼/NNB
작다.	작/VA + 다/EF + ./SF

선거	선거/NNG
활동의	활동/NNG + 의/JKG
제한을	제한/NNG + 을/JKO
정당화하는데	정당/XR + 화/XSN + 하/XSV + 는데/EC
으레	으레/MAG
쓰이는	쓰이/VV + 는/ETM
그런	그런/MM
폐해들이	폐해/NNG + 들/XSN + 이/JKS
비록	비록/MAG
작은	작/VA + 은/ETM
것은	것/NNB + 은/JX
아니지만,	아니/VCN + 지만/EC + ,/SP
그것들의	그것/NP + 들/XSN + 의/JKG
크기와	크기/NNG + 와/JC
영향은	영향/NNG + 은/JX
아주	아주/MAG
과장되었다.	과장/NNG + 되/XSV + 었/EP + 다/EF + ./SF

따지고	따지/VV + 고/EC
보면,	보/VX + 면/EC + ,/SP
그런	그런/MM
폐해들이	폐해/NNG + 들/XSN + 이/JKS
없는	없/VA + 는/ETM
선거는	선거/NNG + 는/JX
후보	후보/NNG
하나가	하나/NR + 가/JKS
모든	모든/MM
사람들의	사람/NNG + 들/XSN + 의/JKG
지지를	지지/NNG + 를/JKO
얻는	얻/VV + 는/ETM
전체주의	전체주의/NNG
사회들의	사회/NNG + 들/XSN + 의/JKG
선거다.	선거/NNG + 이/VCP + 다/EF + ./SF

지금	지금/MAG
여야	여야/NNG
사이의	사이/NNG + 의/JKG
선거법	선거법/NNG
협상이	협상/NNG + 이/JKS
크게	크/VA + 게/EC
미흡한	미흡/NNG + 하/XSA + ㄴ/ETM
까닭은	까닭/NNG + 은/JX
그런	그런/MM
사정을	사정/NNG + 을/JKO
제대로	제대로/MAG
고려하지	고려/NNG + 하/XSV + 지/EC
않았다는	않/VX + 았/EP + 다는/ETM
점이다.	점/NNG + 이/VCP + 다/EF + ./SF

비록	비록/MAG
선거	선거/NNG
활동에	활동/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
제약을	제약/NNG + 을/JKO
상당히	상당히/MAG
줄였지만,	줄이/VV + 었/EP + 지만/EC + ,/SP
협상의	협상/NNG + 의/JKG
당사자들이	당사자/NNG + 들/XSN + 이/JKS
자유	자유/NNG
시장의	시장/NNG + 의/JKG
원칙을	원칙/NNG + 을/JKO
정치	정치/NNG
개혁의	개혁/NNG + 의/JKG
인도	인도/NNG
원칙으로	원칙/NNG + 으로/JKB
인식한	인식/NNG + 하/XSV + ㄴ/ETM
것처럼	것/NNB + 처럼/JKB
보이지는	보이/VV + 지/EC + 는/JX
않는다.	않/VX + 는다/EF + ./SF

새로운	새롭/VA + ㄴ/ETM
사람들이	사람/NNG + 들/XSN + 이/JKS
정치적	정치/NNG + 적/XSN
시장에	시장/NNG + 에/JKB
들어서는	들어서/VV + 는/ETM
것을	것/NNB + 을/JKO
막는	막/VV + 는/ETM
문턱이	문턱/NNG + 이/JKS
그대로	그대로/MAG
남은	남/VV + 은/ETM
것은	것/NNB + 은/JX
특히	특히/MAG
아쉽다.	아쉽/VA + 다/EF + ./SF

이미	이미/MAG
정치적	정치/NNG + 적/XSN
시장에서	시장/NNG + 에서/JKB
자리를	자리/NNG + 를/JKO
잡은	잡/VV + 은/ETM
사람들	사람/NNG + 들/XSN
사이의	사이/NNG + 의/JKG
협상이니	협상/NNG + 이/VCP + 니/EC
그럴	그렇/VA + ㄹ/ETM
수밖에	수/NNB + 밖에/JX
없지	없/VA + 지/EC
않느냐고	않/VX + 느냐고/EC
냉소적으로	냉소/NNG + 적/XSN + 으로/JKB
바라	바라/VV + 아/EC
보기에는	보/VV + 기에/EC + 는/JX
걸린	걸리/VV + ㄴ/ETM
것들이	것/NNB + 들/XSN + 이/JKS
너무	너무/MAG
크다.	크/VA + 다/EF + ./SF

안정된	안정/NNG + 되/XSV + ㄴ/ETM
삶의	삶/NNG + 의/JKG
조건은	조건/NNG + 은/JX
무엇일까.	무엇/NP + 이/VCP + ㄹ까/EF + ./SF

개인의	개인/NNG + 의/JKG
일상	일상/NNG
생활	생활/NNG
그리고	그리고/MAJ
개인을	개인/NNG + 을/JKO
조건짓는	조건/NNG + 짓/VV + 는/ETM
사회	사회/NNG
생활이	생활/NNG + 이/JKS
장차	장차/MAG
어떻게	어떻/VA + 게/EC
전개될지에	전개/NNG + 되/XSV + ㄹ지/EC + 에/JKB
대한	대하/VV + ㄴ/ETM
예측	예측/NNG
가능성이	가능/NNG + 성/XSN + 이/JKS
으뜸가는	으뜸가/VV + 는/ETM
조건이라	조건/NNG + 이/VCP + 라/EC
주장한	주장/NNG + 하/XSV + ㄴ/ETM
이론이	이론/NNG + 이/JKS
있다.	있/VV + 다/EF + ./SF

혼잡	혼잡/NNG
때문에	때문/NNB + 에/JKB
약속	약속/NNG
장소까지	장소/NNG + 까지/JX
교통	교통/NNG
시간이	시간/NNG + 이/JKS
얼마나	얼마나/MAG
걸릴지	걸리/VV + ㄹ지/EC
몰라	모르/VV + 아/EC
차	차/NNG
속에서	속/NNG + 에서/JKB
안달하는	안달/NNG + 하/XSV + 는/ETM
우리의	우리/NP + 의/JKG
일상을	일상/NNG + 을/JKO
기억한다면	기억/NNG + 하/XSV + ㄴ다면/EC
그	그/MM
주장은	주장/NNG + 은/JX
퍽	퍽/MAG
수긍이	수긍/NNG + 이/JKS
간다.	가/VV + ㄴ다/EF + ./SF

일상	일상/NNG
생활에서도	생활/NNG + 에서/JKB + 도/JX
그렇지만	그렇/VA + 지만/EC
예측	예측/NNG
가능성은	가능/NNG + 성/XSN + 은/JX
과학에서는	과학/NNG + 에서/JKB + 는/JX
생명이나	생명/NNG + 이나/JX
다름	다르/VA + ㅁ/ETN
없다.	없/VA + 다/EF + ./SF

첨단	첨단/NNG
기기인	기기/NNG + 이/VCP + ㄴ/ETM
컴퓨터의	컴퓨터/NNG + 의/JKG
수명이	수명/NNG + 이/JKS
얼마나	얼마나/MAG
될지도	되/VV + ㄹ지/EC + 도/JX
예측	예측/NNG
가능성의	가능/NNG + 성/XSN + 의/JKG
문제다.	문제/NNG + 이/VCP + 다/EF + ./SF

문서작성용	문서/NNG + 작성/NNG + 용/XSN
퍼스널	퍼스널/NNG
컴퓨터는	컴퓨터/NNG + 는/JX
최소한	최소한/NNG
5년	5/SN + 년/NNB
정도	정도/NNG
수명은	수명/NNG + 은/JX
된다	되/VV + ㄴ다/EC
한다.	하/VV + ㄴ다/EF + ./SF

그럼에도	그렇/VA + ㅁ/ETN + 에/JKB + 도/JX
이른바	이른바/MAG
메이커제	메이커/NNG + 제/XSN
컴퓨터인데	컴퓨터/NNG + 이/VCP + ㄴ데/EC
불과	불과/MAG
2~3년안에	2/SN + ~/SO + 3/SN + 년/NNB + 안/NNG + 에/JKB
중요	중요/NNG
기억	기억/NNG
장치인	장치/NNG + 이/VCP + ㄴ/ETM
하드	하드/NNG
디스크가	디스크/NNG + 가/JKS
파괴되는	파괴/NNG + 되/XSV + 는/ETM
불상사자	불상사/NNG + 이/VCP + 자/EC
심심치	심심/XR + 하/XSA + 지/EC
않게	않/VX + 게/EC
발생한다.	발생/NNG + 하/XSV + ㄴ다/EF + ./SF

그래서	그래서/MAJ
서울대	서울대/NNP
박사과정생	박사/NNG + 과정/NNG + 생/XSN
가운데	가운데/NNG
학위	학위/NNG
논문의	논문/NNG + 의/JKG
주제를	주제/NNG + 를/JKO
바꾸었거나	바꾸/VV + 었/EP + 거나/EC
아예	아예/MAG
작성을	작성/NNG + 을/JKO
포기한	포기/NNG + 하/XSV + ㄴ/ETM
경우도	경우/NNG + 도/JX
있고,	있/VV + 고/EC + ,/SP
진행중이던	진행/NNG + 중/NNB + 이/VCP + 던/ETM
연구	연구/NNG
과제를	과제/NNG + 를/JKO
포기한	포기/NNG + 하/XSV + ㄴ/ETM
채	채/NNB
연구비를	연구비/NNG + 를/JKO
반환한	반환/NNG + 하/XSV + ㄴ/ETM
교수도	교수/NNG + 도/JX
있다.	있/VV + 다/EF + ./SF

하드	하드/NNG
디스크에	디스크/NNG + 에/JKB
넣어	넣/VV + 어/EC
둔	두/VX + ㄴ/ETM
온갖	온갖/MM
자료가	자료/NNG + 가/JKS
파손되었기	파손/NNG + 되/XSV + 었/EP + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

십년공부	십/NR + 년/NNB + 공부/NNG
나무아미타불은	나무아미타불/NNG + 은/JX
이를	이/NP + 를/JKO
두고	두/VV + 고/EC
한	하/VV + ㄴ/ETM
말인성	말/NNG + 인성/NNG
싶다.	싶/VX + 다/EF + ./SF

국제항공	국제/NNG + 항공/NNG
요금처럼	요금/NNG + 처럼/JKB
비슷한	비슷/XR + 하/XSA + ㄴ/ETM
수준의	수준/NNG + 의/JKG
컴퓨터라도	컴퓨터/NNG + 이/VCP + 라도/EC
가격	가격/NNG
등차가	등차/NNG + 가/JKS
많다.	많/VA + 다/EF + ./SF

협상	협상/NNG
끝에	끝/NNG + 에/JKB
결정된	결정/NNG + 되/XSV + ㄴ/ETM
값으로	값/NNG + 으로/JKB
컴퓨터를	컴퓨터/NNG + 를/JKO
팔면서	팔/VV + 면서/EC
이	이/MM
가격으로	가격/NNG + 으로/JKB
팔아선	팔/VV + 아서/EC + ㄴ/JX
안되는데	안/MAG + 되/XSV + 는데/EC
하고	하/VV + 고/EC
구입자에게	구입자/NNG + 에게/JKB
뒷말을	뒷말/NNG + 을/JKO
늘어	늘/VV + 어/EC
놓던	놓/VX + 던/ETM
대메이커의	대/XPN + 메이커/NNG + 의/JKG
판매	판매/NNG
사원이	사원/NNG + 이/JKS
있었다.	있/VV + 었/EP + 다/EF + ./SF

불과	불과/MAG
몇	몇/MM
달	달/NNG
뒤	뒤/NNG
그	그/MM
회사는	회사/NNG + 는/JX
부도를	부도/NNG + 를/JKO
내고	내/VV + 고/EC
파산했다.	파산/NNG + 하/XSV + 았/EP + 다/EF + ./SF

수출시장이	수출/NNG + 시장/NNG + 이/JKS
무너지고	무너지/VV + 고/EC
있다는	있/VX + 다는/ETM
데	데/NNB
컴퓨터도	컴퓨터/NNG + 도/JX
거기에	거기/NP + 에/JKB
들어	들/VV + 어/EC
있다.	있/VX + 다/EF + ./SF

89년	89/SN + 년/NNB
이래	이래/NNB
우리의	우리/NP + 의/JKG
미국	미국/NNP
시장	시장/NNG
점유율이	점유/NNG + 율/XSN + 이/JKS
1.5%에서	1/SN + ./SP + 5/SN + %/SW + 에서/JKB
1.4%로	1/SN + ./SP + 4/SN + %/SW + 로/JKB
떨어진	떨어지/VV + ㄴ/ETM
반면,	반면/NNG + ,/SP
대만은	대만/NNP + 은/JX
오히려	오히려/MAG
2.9%에서	2/SN + ./SP + 9/SN + %/SW + 에서/JKB
3.	3/SN + ./SF

1%로	1/SN + %/SW + 로/JKB
올라갔다.	올라가/VV + 았/EP + 다/EF + ./SF

국내에서	국내/NNG + 에서/JKB
신뢰를	신뢰/NNG + 를/JKO
얻지	얻/VV + 지/EC
못하는	못하/VX + 는/ETM
제품이	제품/NNG + 이/JKS
수출	수출/NNG
시장에서	시장/NNG + 에서/JKB
호응을	호응/NNG + 을/JKO
받을	받/VV + 을/ETM
리	리/NNB
만무하다.	만무/NNG + 하/XSA + 다/EF + ./SF

기업	기업/NNG
체질의	체질/NNG + 의/JKG
환골	환골/NNG
탈태를	탈태/NNG + 를/JKO
위한	위하/VV + ㄴ/ETM
비장한	비장/XR + 하/XSA + ㄴ/ETM
노력이	노력/NNG + 이/JKS
요구된다.	요구/NNG + 되/XSV + ㄴ다/EF + ./SF

북한의	북한/NNP + 의/JKG
핵	핵/NNG
문제가	문제/NNG + 가/JKS
전세계적인	전/MM + 세계/NNG + 적/XSN + 이/VCP + ㄴ/ETM
관심사로	관심사/NNG + 로/JKB
걸려	걸리/VV + 어/EC
있는	있/VX + 는/ETM
가운데	가운데/NNG
체니	체니/NNP
미	미/NNP
국방	국방/NNG
장관이	장관/NNG + 이/JKS
제시한	제시/NNG + 하/XSV + ㄴ/ETM
'아주	'/SS + 아주/MAG
안보	안보/NNG
6	6/SN
원칙'은	원칙/NNG + '/SS + 은/JX
음미할	음미/NNG + 하/XSV + ㄹ/ETM
만한	만/NNB + 하/XSA + ㄴ/ETM
구석이	구석/NNG + 이/JKS
많다.	많/VA + 다/EF + ./SF

방일	방/NNG + 일/NNP
중인	중/NNB + 이/VCP + ㄴ/ETM
체니	체니/NNP
장관이	장관/NNG + 이/JKS
22일	22/SN + 일/NNB
동경의	동경/NNP + 의/JKG
외국	외국/NNG
특파원	특파원/NNG
협의회에서	협의회/NNG + 에서/JKB
밝힌	밝히/VV + ㄴ/ETM
미국의	미국/NNP + 의/JKG
대아시아	대/XPN + 아시아/NNP
안보	안보/NNG
정책에는	정책/NNG + 에/JKB + 는/JX
먼저	먼저/MAG
아시아	아시아/NNP
지역에서의	지역/NNG + 에서/JKB + 의/JKG
정치	정치/NNG
경제적	경제/NNG + 적/XSN
역할	역할/NNG
수행이	수행/NNG + 이/JKS
첫번째로	첫/MM + 번/NNB + 째/XSN + 로/JKB
꼽혀졌다.	꼽히/VV + 어/EC + 지/VX + 었/EP + 다/EF + ./SF

2국	2/SN + 국/NNG
간	간/NNB
안보	안보/NNG
협력	협력/NNG
체제	체제/NNG
유지,	유지/NNG + ,/SP
전력의	전력/NNG + 의/JKG
전방전개,	전방/NNG + 전개/NNG + ,/SP
해외	해외/NNG
기자	기자/NNG
확보,	확보/NNG + ,/SP
동맹국과의	동맹국/NNG + 과/JKB + 의/JKG
책임분담,	책임/NNG + 분담/NNG + ,/SP
상호	상호/NNG
보완적	보완/NNG + 적/XSN
방위협력	방위/NNG + 협력/NNG
등이	등/NNB + 이/JKS
그	그/MM
다음	다음/NNG
사항으로	사항/NNG + 으로/JKB
제시됐다.	제시/NNG + 되/XSV + 었/EP + 다/EF + ./SF

이	이/NP
같은	같/VA + 은/ETM
6	6/SN
원칙은	원칙/NNG + 은/JX
일견	일견/NNG
그동안	그동안/NNG
미국이	미국/NNP + 이/JKS
수행해	수행/NNG + 하/XSV + 아/EC
온	오/VX + ㄴ/ETM
세계	세계/NNG
전략	전략/NNG
및	및/MAG
그	그/MM
일환인	일환/NNG + 이/VCP + ㄴ/ETM
아태	아태/NNP
지역에	지역/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
전력	전력/NNG
구도와	구도/NNG + 와/JKB
크게	크/VA + 게/EC
달라진	달라지/VV + ㄴ/ETM
건	것/NNB + ㄴ/JX
없다.	없/VA + 다/EF + ./SF

그러나	그러나/MAJ
여기서	여기/NP + 서/JKB
주목할	주목/NNG + 하/XSV + ㄹ/ETM
것은	것/NNB + 은/JX
해외전진기지	해외/NNG + 전진/NNG + 기지/NNG
확보와	확보/NNG + 와/JC
방위	방위/NNG
부담을	부담/NNG + 을/JKO
새삼	새삼/MAG
강조했다는	강조/NNG + 하/XSV + 았/EP + 다는/ETM
점이다.	점/NNG + 이/VCP + 다/EF + ./SF

일부	일부/NNG
전문가들은	전문가/NNG + 들/XSN + 은/JX
미국이	미국/NNP + 이/JKS
걸프전	걸프전/NNG
이후	이후/NNG
해외에	해외/NNG + 에/JKB
전진배치된	전진/NNG + 배치/NNG + 되/XSV + ㄴ/ETM
병력을	병력/NNG + 을/JKO
철수하려던	철수/NNG + 하/XSV + 려던/ETM
정책	정책/NNG
기조를	기조/NNG + 를/JKO
전환시켜	전환/NNG + 시키/XSV + 어/EC
기존의	기존/NNG + 의/JKG
병력	병력/NNG
수준을	수준/NNG + 을/JKO
유지하는	유지/NNG + 하/XSV + 는/ETM
대신	대신/NNG
방위비를	방위비/NNG + 를/JKO
주둔국과	주둔국/NNG + 과/JKB
분담,	분담/NNG + ,/SP
지역	지역/NNG
분쟁에	분쟁/NNG + 에/JKB
대비하는	대비/NNG + 하/XSV + 는/ETM
전략을	전략/NNG + 을/JKO
본격적으로	본격/NNG + 적/XSN + 으로/JKB
구사하기	구사/NNG + 하/XSV + 기/ETN
시작한	시작/NNG + 하/XSV + ㄴ/ETM
것으로	것/NNB + 으로/JKB
분석하고	분석/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

한국과	한국/NNP + 과/JC
일본에	일본/NNP + 에/JKB
배치된	배치/NNG + 되/XSV + ㄴ/ETM
미군	미군/NNG
병력의	병력/NNG + 의/JKG
감축을	감축/NNG + 을/JKO
연기시킨다는	연기/NNG + 시키/XSV + ㄴ다는/ETM
최근의	최근/NNG + 의/JKG
체니	체니/NNP
장관	장관/NNG
발언과	발언/NNG + 과/JC
그	그/MM
같은	같/VA + 은/ETM
전략	전략/NNG
변경의	변경/NNG + 의/JKG
한	한/MM
본보기라는	본보기/NNG + 이/VCP + 라는/ETM
해석인	해석/NNG + 이/VCP + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

물론	물론/MAG
주한	주한/NNG
미군	미군/NNG
등의	등/NNB + 의/JKG
감축	감축/NNG
연기	연기/NNG
조치가	조치/NNG + 가/JKS
북한	북한/NNP
핵개발과	핵/NNG + 개발/NNG + 과/JKB
연계돼	연계/NNG + 되/XSV + 어/EC
있고	있/VX + 고/EC
이를	이/NP + 를/JKO
저지하기	저지/NNG + 하/XSV + 기/ETN
위한	위하/VV + ㄴ/ETM
견제	견제/NNG
장치로	장치/NNG + 로/JKB
동원된	동원/NNG + 되/XSV + ㄴ/ETM
것임에는	것/NNB + 이/VCP + ㅁ/ETN + 에/JKB + 는/JX
틀림이	틀리/VV + ㅁ/ETN + 이/JKS
없다.	없/VA + 다/EF + ./SF

그러나	그러나/MAJ
지난	지나/VV + ㄴ/ETM
21일	21/SN + 일/NNB
폐막된	폐막/NNG + 되/XSV + ㄴ/ETM
한-미	한/NNP + -/SS + 미/NNP
연례	연례/NNG
안보	안보/NNG
협의회의(SCM)에서	협의/NNG + 회의/NNG + (/SS + SCM/SL + )/SS + 에서/JKB
넌워너	넌워너/NNP
2단계	2/SN + 단계/NNG
감축	감축/NNG
계획의	계획/NNG + 의/JKG
연기가	연기/NNG + 가/JKS
한-미	한/NNP + -/SS + 미/NNP
양당사국간에	양/MM + 당사국/NNG + 간/NNB + 에/JKB
쉽게	쉽/VA + 게/EC
합의에도	합의/NNG + 에/JKB + 도/JX
달한	달하/VV + ㄴ/ETM
것을	것/NNB + 을/JKO
보면	보/VV + 면/EC
미측이	미/NNP + 측/NNB + 이/JKS
어떤	어떤/MM
이유든	이유/NNG + 이/VCP + 든/EC
이를	이/NP + 를/JKO
예비하지	예비/NNG + 하/XSV + 지/EC
않았나	않/VX + 았/EP + 나/EC
하는	하/VV + 는/ETM
느낌이	느낌/NNG + 이/JKS
든다.	들/VV + ㄴ다/EF + ./SF

반면	반면/NNG
미측	미/NNP + 측/NNB
관계자들은	관계자/NNG + 들/XSN + 은/JX
SCM회의	SCM/SL + 회의/NNG
과정에서	과정/NNG + 에서/JKB
방위비	방위비/NNG
분담과	분담/NNG + 과/JKB
관련해	관련/NNG + 하/XSV + 아/EC
주한	주한/NNG
미군의	미군/NNG + 의/JKG
현지	현지/NNG
발생	발생/NNG
비용을	비용/NNG + 을/JKO
한국측이	한국/NNP + 측/NNB + 이/JKS
오는	오/VV + 는/ETM
95년까지	95/SN + 년/NNB + 까지/JX
2분의	2/SN + 분/XSN + 의/JKG
1수준을	1/SN + 수준/NNG + 을/JKO
부담해야	부담/NNG + 하/XSV + 아야/EC
한다는	하/VX + ㄴ다는/ETM
주장을	주장/NNG + 을/JKO
집요하게	집요/XR + 하/XSA + 게/EC
제기,	제기/NNG + ,/SP
진통을	진통/NNG + 을/JKO
겪은	겪/VV + 은/ETM
것으로	것/NNB + 으로/JKB
알려졌다.	알리/VV + 어/EC + 지/VX + 었/EP + 다/EF + ./SF

결국	결국/NNG
3분의	3/SN + 분/XSN + 의/JKG
1선을	1/SN + 선/NNG + 을/JKO
주장해	주장/NNG + 하/XSV + 아/EC
온	오/VX + ㄴ/ETM
우리측	우리/NP + 측/NNB
입장이	입장/NNG + 이/JKS
공동	공동/NNG
성명문에	성명문/NNG + 에/JKB
채택되긴	채택/NNG + 되/XSV + 기/ETN + ㄴ/JX
했지만	하/VX + 았/EP + 지만/EC
방위비	방위비/NNG
분담	분담/NNG
압력이	압력/NNG + 이/JKS
그만치	그만치/MAG
가중되고	가중/NNG + 되/XSV + 고/EC
있다는	있/VX + 다는/ETM
얘기다.	얘기/NNG + 이/VCP + 다/EF + ./SF

6	6/SN
원칙	원칙/NNG
중	중/NNB
'동맹국과의	'/SS + 동맹국/NNG + 과/JKB + 의/JKG
책임분담'을	책임/NNG + 분담/NNG + '/SS + 을/JKO
상기시키는	상기/NNG + 시키/XSV + 는/ETM
대목이다.	대목/NNG + 이/VCP + 다/EF + ./SF

북한	북한/NNP
핵	핵/NNG
