지나간	지나가/VV + ㄴ/ETM
일련의	일련/NNG + 의/JKG
문제에	문제/NNG + 에/JKB
대해서는	대하/VV + 아서/EC + 는/JX
전진적으로	전진/NNG + 적/XSN + 으로/JKB
생각하려는	생각/NNG + 하/XSV + 려는/ETM
입장이다.	입장/NNG + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
반면에,	반면/NNG + 에/JKB + ,/SP
'민자당	'/SS + 민자당/NNP
해체	해체/NNG
및	및/MAG
현	현/MM
정권	정권/NNG
퇴진'	퇴진/NNG + '/SS
요구	요구/NNG
같은	같/VA + 은/ETM
것은	것/NNB + 은/JX
과연	과연/MAG
어떤가.	어떻/VA + ㄴ가/EF + ./SF

우리도	우리/NP + 도/JX
민자당에	민자당/NNP + 에/JKB
대해선	대하/VV + 아서/EC + ㄴ/JX
할말이	하/VV + ㄹ/ETM + 말/NNG + 이/JKS
한두	한두/MM
가지가	가지/NNB + 가/JKC
아니고	아니/VCN + 고/EC
현	현/MM
정부에	정부/NNG + 에/JKB
대해서도	대하/VV + 아서/EC + 도/JX
비판하고	비판/NNG + 하/XSV + 고/EC
싶은	싶/VX + 은/ETM
것이	것/NNB + 이/JKS
많다.	많/VA + 다/EF + ./SF

그러나	그러나/MAJ
그런	그런/MM
민자당과	민자당/NNP + 과/JC
그런	그런/MM
현	현/MM
정부를	정부/NNG + 를/JKO
퇴진시킬	퇴진/NNG + 시키/XSV + ㄹ/ETM
유일무이하게	유일무이/NNG + 하/XSA + 게/EC
정당한	정당/XR + 하/XSA + ㄴ/ETM
길은	길/NNG + 은/JX
오직	오직/MAG
차기	차기/NNG
선거에서의	선거/NNG + 에서/JKB + 의/JKG
표에	표/NNG + 에/JKB
의한	의하/VV + ㄴ/ETM
교체밖에	교체/NNG + 밖에/JX
없음을	없/VA + 음/ETN + 을/JKO
알아야	알/VV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

'양심수	'/SS + 양심수/NNG
석방'은	석방/NNG + '/SS + 은/JX
또	또/MAG
어떤가.	어떻/VA + ㄴ가/EF + ./SF

우리도	우리/NP + 도/JX
인도적인	인도/NNG + 적/XSN + 이/VCP + ㄴ/ETM
취지에서	취지/NNG + 에서/JKB
합당한	합당/XR + 하/XSA + ㄴ/ETM
절차에	절차/NNG + 에/JKB
의거한	의거/NNG + 하/XSV + ㄴ/ETM
것이라면	것/NNB + 이/VCP + 라면/EC
되도록이면	되도록/MAG + 이/VCP + 면/EC
감옥이	감옥/NNG + 이/JKS
만원이	만원/NNG + 이/JKC
되기보다는	되/VV + 기/ETN + 보다/JKB + 는/JX
비워지기를	비우/VV + 어/EC + 지/VX + 기/ETN + 를/JKO
바라는	바라/VV + 는/ETM
심경임엔	심경/NNG + 이/VCP + ㅁ/ETN + 에/JKB + ㄴ/JX
틀림없다.	틀림없/VA + 다/EF + ./SF

그러나	그러나/MAJ
예컨대,	예컨대/MAG + ,/SP
이	이/MM
쪽의	쪽/NNB + 의/JKG
국가적	국가/NNG + 적/XSN
형식	형식/NNG
요건조차	요건/NNG + 조차/JX
의식적으로	의식/NNG + 적/XSN + 으로/JKB
묵살하고	묵살/NNG + 하/XSV + 고/EC
북에	북/NNG + 에/JKB
잠행해서	잠행/NNG + 하/XSV + 아서/EC
'하고	'/SS + 하/VV + 고/EC
싶은	싶/VX + 은/ETM
대로'	대로/NNB + '/SS
행동했다거나,	행동/NNG + 하/XSV + 았/EP + 다/EC + 거나/JX + ,/SP
공공	공공/NNG
건물에	건물/NNG + 에/JKB
화염병을	화염병/NNG + 을/JKO
던져	던지/VV + 어/EC
불을	불/NNG + 을/JKO
지르려	지르/VV + 려/EC
했다거나,	하/VX + 았/EP + 다/EC + 거나/JX + ,/SP
동료	동료/NNG
학생을	학생/NNG + 을/JKO
'프락치'라	'/SS + 프락치/NNG + '/SS + 이/VCP + 라/EC
보고	보/VV + 고/EC
린치를	린치/NNG + 를/JKO
하고	하/VV + 고/EC
치사시켰다거나	치사/NNG + 시키/XSV + 었/EP + 다/EC + 거나/JX
하는	하/VV + 는/ETM
사례가	사례/NNG + 가/JKS
있었다고	있/VV + 었/EP + 다고/EC
할	하/VV + ㄹ/ETM
때,	때/NNG + ,/SP
과연	과연/MAG
그러한	그러/XR + 하/XSA + ㄴ/ETM
행위에	행위/NNG + 에/JKB
대해	대하/VV + 아/EC
'선언문'은	'/SS + 선언문/NNG + '/SS + 은/JX
앞뒤	앞뒤/NNG
따짐도	따지/VV + ㅁ/ETN + 도/JX
없이	없이/MAG
덮어놓고	덮/VV + 어/EC + 놓/VX + 고/EC
"양심수이니	"/SS + 양심수/NNG + 이/VCP + 니/EC
석방하라"고만	석방/NNG + 하/XSV + 라/EC + "/SS + 고/JKQ + 만/JX
말할	말/NNG + 하/XSV + ㄹ/ETM
수가	수/NNB + 가/JKS
있겠느냐	있/VV + 겠/EP + 느냐/EC
하는	하/VV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

또	또/MAG
'주한	'/SS + 주한/NNG
미군	미군/NNG
철수'	철수/NNG + '/SS
같은	같/VA + 은/ETM
요구만	요구/NNG + 만/JX
해도,	하/VV + 아도/EC + ,/SP
그런	그런/MM
것을	것/NNB + 을/JKO
과연	과연/MAG
북한과의	북한/NNP + 과/JKB + 의/JKG
상응한	상응/NNG + 하/XSV + ㄴ/ETM
전략적	전략/NNG + 적/XSN
선결	선결/NNG
과정도	과정/NNG + 도/JX
거침이	거침/NNG + 이/JKS
없이	없이/MAG
그냥	그냥/MAG
일방적으로	일방/NNG + 적/XSN + 으로/JKB
단행할	단행/NNG + 하/XSV + ㄹ/ETM
수가	수/NNB + 가/JKS
있는	있/VV + 는/ETM
문제냐	문제/NNG + 이/VCP + 냐/EC
하는	하/VV + 는/ETM
것도	것/NNB + 도/JX
생각해	생각/NNG + 하/XSV + 아/EC
보아야	보/VX + 아야/EC
하는	하/VX + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이처럼	이/NP + 처럼/JKB
모든	모든/MM
주장은	주장/NNG + 은/JX
이제는	이제/NNG + 는/JX
논리적으로나,	논리/NNG + 적/XSN + 으로/JKB + 나/JC + ,/SP
인과	인과/NNG
관계상으로나,	관계/NNG + 상/XSN + 으로/JKB + 나/JX + ,/SP
그리고	그리고/MAJ
합리의	합리/NNG + 의/JKG
기준에서	기준/NNG + 에서/JKB
보아	보/VV + 아/EC
그야말로	그야말로/MAG
부족함이	부족/NNG + 하/XSA + ㅁ/ETN + 이/JKS
없는	없/VA + 는/ETM
말로	말/NNG + 로/JKB
표출해야지,	표출/NNG + 하/XSV + 아야지/EC + ,/SP
재야는	재야/NNG + 는/JX
무슨	무슨/MM
말도	말/NNG + 도/JX
할	하/VV + ㄹ/ETM
수	수/NNB
있다는	있/VV + 다는/ETM
점에서	점/NNG + 에서/JKB
무작정	무/XPN + 작정/NNG
외치기만	외치/VV + 기/ETN + 만/JX
해서는	하/VX + 아서/EC + 는/JX
그	그/MM
설득력이	설득력/NNG + 이/JKS
약해진다는	약하/VA + 아/EC + 지/VX + ㄴ다는/ETM
점을	점/NNG + 을/JKO
인식했으면	인식/NNG + 하/XSV + 았/EP + 으면/EC
한다.	하/VX + ㄴ다/EF + ./SF

벨기에	벨기에/NNP
브뤼셀에	브뤼셀/NNP + 에/JKB
모인	모이/VV + ㄴ/ETM
1백	1/SN + 백/NR
7	7/SN
개국의	개국/NNB + 의/JKG
5천여	5/SN + 천/NR + 여/XSN
우루과이	우루과이/NNP
협상	협상/NNG
대표들은	대표/NNG + 들/XSN + 은/JX
세계	세계/NNG
무역의	무역/NNG + 의/JKG
평화라는	평화/NNG + 이/VCP + 라는/ETM
단	단/MM
한	한/MM
가지	가지/NNB
소망	소망/NNG
이외에는	이외/NNG + 에/JKB + 는/JX
공통점이	공통점/NNG + 이/JKS
거의	거의/MAG
없을	없/VA + 을/ETM
정도로	정도/NNG + 로/JKB
제각기	제각기/MAG
다른	다르/VA + ㄴ/ETM
생각들을	생각/NNG + 들/XSN + 을/JKO
가지고	가지/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

때문에	때문/NNB + 에/JKB
장기간의	장기간/NNG + 의/JKG
협상이	협상/NNG + 이/JKS
파란	파랗/VA + ㄴ/ETM
없이,	없이/MAG + ,/SP
순탄하게	순탄/XR + 하/XSA + 게/EC
마무리되기를	마무리/NNG + 되/XSV + 기/ETN + 를/JKO
기대하기는	기대/NNG + 하/XSV + 기/ETN + 는/JX
매우	매우/MAG
어려워	어렵/VA + 어/EC
보인다.	보이/VV + ㄴ다/EF + ./SF

물론	물론/MAG
협상의	협상/NNG + 의/JKG
막바지에서	막바지/NNG + 에서/JKB
협상	협상/NNG
주도	주도/NNG
그룹인	그룹/NNG + 이/VCP + ㄴ/ETM
미국과	미국/NNP + 과/JC
EC간에	EC/SL + 간/NNB + 에/JKB
극적인	극/NNG + 적/XSN + 이/VCP + ㄴ/ETM
양보와	양보/NNG + 와/JC
합의가	합의/NNG + 가/JKS
도출될	도출/NNG + 되/XSV + ㄹ/ETM
가능성은	가능/NNG + 성/XSN + 은/JX
여전히	여전히/MAG
남아	남/VV + 아/EC
있다.	있/VX + 다/EF + ./SF

그러나	그러나/MAJ
이	이/MM
협상은	협상/NNG + 은/JX
그	그/MM
결말이	결말/NNG + 이/JKS
극적인	극/NNG + 적/XSN + 이/VCP + ㄴ/ETM
타결로	타결/NNG + 로/JKB
이어지든,	이어지/VV + 든/EC + ,/SP
결렬로	결렬/NNG + 로/JKB
끝장나든,	끝장나/VV + 든/EC + ,/SP
우리에게는	우리/NP + 에게/JKB + 는/JX
원천적으로	원천/NNG + 적/XSN + 으로/JKB
부담이	부담/NNG + 이/JKS
안겨지는	안기/VV + 어/EC + 지/VX + 는/ETM
그런	그런/MM
협상이다.	협상/NNG + 이/VCP + 다/EC + ./SF

공산품의	공산품/NNG + 의/JKG
대량	대량/NNG
수출국이면서도	수출국/NNG + 이/VCP + 면서/EC + 도/JX
농업의	농업/NNG + 의/JKG
사회	사회/NNG
경제적	경제/NNG + 적/XSN
비중이	비중/NNG + 이/JKS
매우	매우/MAG
높은	높/VA + 은/ETM
경제	경제/NNG
구조로	구조/NNG + 로/JKB
인해	인하/VV + 아/EC
협상의	협상/NNG + 의/JKG
어느	어느/MM
분야에서도	분야/NNG + 에서/JKB + 도/JX
이니셔티브를	이니셔티브/NNG + 를/JKO
갖기	갖/VV + 기/ETN
어려울	어렵/VA + ㄹ/ETM
뿐만	뿐/NNB + 만/JX
아니라,	아니/VCN + 라/EC + ,/SP
십중팔구	십중팔구/NNG
영합의	영합/NNG + 의/JKG
게임으로	게임/NNG + 으로/JKB
끝날지도	끝나/VV + ㄹ지/EC + 도/JX
모른다.	모르/VV + ㄴ다/EF + ./SF

더구나	더구나/MAG
세계	세계/NNG
무역에서	무역/NNG + 에서/JKB
50년	50/SN + 년/NNB
대	대/NNB
이후의	이후/NNG + 의/JKG
'좋은	'/SS + 좋/VA + 은/ETM
시대'가	시대/NNG + '/SS + 가/JKS
막을	막/NNG + 을/JKO
내리면서	내리/VV + 면서/EC
국가별	국가/NNG + 별/XSN
이해가	이해/NNG + 가/JKS
치열하게	치열/NNG + 하/XSA + 게/EC
각축하는	각축/NNG + 하/XSV + 는/ETM
새로운	새롭/VA + ㄴ/ETM
대결의	대결/NNG + 의/JKG
시대로	시대/NNG + 로/JKB
접어든	접어들/VV + ㄴ/ETM
지금,	지금/NNG + ,/SP
GATT는	GATT/SL + 는/JX
이제	이제/MAG
더	더/MAG
이상	이상/NNG
공존의	공존/NNG + 의/JKG
틀이	틀/NNG + 이/JKC
되기	되/VV + 기/ETN
어려워졌음이	어렵/VA + 어/EC + 지/VX + 었/EP + 음/ETN + 이/JKS
분명하다.	분명/MAG + 하/XSA + 다/EF + ./SF

그	그/NP
때문에	때문/NNB + 에/JKB
UR협상은	UR/SL + 협상/NNG + 은/JX
이미,	이미/MAG + ,/SP
내건	내걸/VV + ㄴ/ETM
명분처럼	명분/NNG + 처럼/JKB
세계	세계/NNG
무역의	무역/NNG + 의/JKG
호혜적	호혜/NNG + 적/XSN
확대에	확대/NNG + 에/JKB
기여하지	기여/NNG + 하/XSV + 지/EC
못할	못하/VX + ㄹ/ETM
것이며	것/NNB + 이/VCP + 며/EC
UR의	UR/SL + 의/JKG
성공적	성공/NNG + 적/XSN
타결	타결/NNG
또한	또한/MAG
통상	통상/NNG
문제의	문제/NNG + 의/JKG
근원적	근원/NNG + 적/XSN
해결보다는	해결/NNG + 보다/JKB + 는/JX
이미	이미/MAG
진전되어	진전/NNG + 되/XSV + 어/EC
있는	있/VX + 는/ETM
주요	주요/NNG
경제	경제/NNG
블록들의	블록/NNG + 들/XSN + 의/JKG
이해	이해/NNG
관계에	관계/NNG + 에/JKB
더	더/MAG
기여할	기여/NNG + 하/XSV + ㄹ/ETM
수밖에	수/NNB + 밖에/JX
없을	없/VA + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이념과	이념/NNG + 과/JC
군사적	군사/NNG + 적/XSN
대결의	대결/NNG + 의/JKG
냉전	냉전/NNG
체제는	체제/NNG + 는/JX
서서히	서서히/MAG
붕괴되는	붕괴/NNG + 되/XSV + 는/ETM
대신,	대신/NNG + ,/SP
경제와	경제/NNG + 와/JC
무역의	무역/NNG + 의/JKG
새로운	새롭/VA + ㄴ/ETM
장벽들이	장벽/NNG + 들/XSN + 이/JKS
놀랍게	놀랍/VA + 게/EC
빠른	빠르/VA + ㄴ/ETM
속도로	속도/NNG + 로/JKB
쌓여지고	쌓이/VV + 어/EC + 지/VX + 고/EC
있으며	있/VX + 으며/EC
UR는	UR/SL + 는/JX
그	그/MM
하나의	하나/NR + 의/JKG
작은	작/VA + 은/ETM
상징일	상징/NNG + 이/VCP + ㄹ/ETM
뿐이다.	뿐/NNB + 이/VCP + 다/EF + ./SF

바로	바로/MAG
이	이/MM
점이	점/NNG + 이/JKS
어중간한	어중간/NNG + 하/XSA + ㄴ/ETM
위치의	위치/NNG + 의/JKG
우리	우리/NP
경제가	경제/NNG + 가/JKS
직면한	직면/NNG + 하/XSV + ㄴ/ETM
최대의	최대/NNG + 의/JKG
고민이자	고민/NNG + 이/VCP + 자/EC
현안	현안/NNG
과제가	과제/NNG + 가/JKC
아닌가	아니/VCN + ㄴ가/EC
싶다.	싶/VX + 다/EF + ./SF

때문에	때문/NNB + 에/JKB
우리	우리/NP
협상	협상/NNG
대표들은	대표/NNG + 들/XSN + 은/JX
우리의	우리/NP + 의/JKG
현실과	현실/NNG + 과/JC
좌표를	좌표/NNG + 를/JKO
정확히	정확히/MAG
인식하고	인식/NNG + 하/XSV + 고/EC
무엇이	무엇/NP + 이/JKS
진실로	진실로/MAG
장기적인	장기/NNG + 적/XSN + 이/VCP + ㄴ/ETM
국익에	국익/NNG + 에/JKB
기여할	기여/NNG + 하/XSV + ㄹ/ETM
것인가를	것/NNB + 이/VCP + ㄴ가/EC + 를/JKO
현명하게	현명/NNG + 하/XSA + 게/EC
판단하여	판단/NNG + 하/XSV + 아/EC
협상하기를	협상/NNG + 하/XSV + 기/ETN + 를/JKO
바란다.	바라/VV + ㄴ다/EF + ./SF

단기적	단기/NNG + 적/XSN
이해나	이해/NNG + 나/JC
관료적	관료/NNG + 적/XSN
실적주의에	실적주의/NNG + 에/JKB
집착해서도	집착/NNG + 하/XSV + 아서/EC + 도/JX
안	안/MAG
될	되/VV + ㄹ/ETM
뿐	뿐/NNB
아니라,	아니/VCN + 라/EC + ,/SP
우리	우리/NP
능력이나	능력/NNG + 이나/JC
잠재력으로	잠재력/NNG + 으로/JKB
감당할	감당/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
없는	없/VA + 는/ETM
부담을	부담/NNG + 을/JKO
자청하는	자청/NNG + 하/XSV + 는/ETM
협상이어서는	협상/NNG + 이/VCP + 어서/EC + 는/JX
안될	안/MAG + 되/XSV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

어차피	어차피/MAG
최대	최대/NNG
현안인	현안/NNG + 이/VCP + ㄴ/ETM
농산물이나	농산물/NNG + 이나/JC
서비스	서비스/NNG
협상은	협상/NNG + 은/JX
미국과	미국/NNP + 과/JC
EC의	EC/SL + 의/JKG
상호	상호/NNG
양보범위	양보/NNG + 범위/NNG
안에서	안/NNG + 에서/JKB
결말지어지겠지만,	결말짓/VV + 어/EC + 지/VX + 겠/EP + 지만/EC + ,/SP
우리로서는	우리/NP + 로서/JKB + 는/JX
농산물	농산물/NNG
협상에	협상/NNG + 에/JKB
더	더/MAG
치중할	치중/NNG + 하/XSV + ㄹ/ETM
수밖에	수/NNB + 밖에/JX
없을	없/VA + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

때문에	때문/NNB + 에/JKB
농업	농업/NNG
보호에	보호/NNG + 에/JKB
적극적인	적극/NNG + 적/XSN + 이/VCP + ㄴ/ETM
EC와	EC/SL + 와/JC
일본	일본/NNP
등	등/NNB
이해가	이해/NNG + 가/JKS
비슷한	비슷/XR + 하/XSA + ㄴ/ETM
그룹들과의	그룹/NNG + 들/XSN + 과/JKB + 의/JKG
공동	공동/NNG
노력에	노력/NNG + 에/JKB
최선을	최선/NNG + 을/JKO
다할	다하/VV + ㄹ/ETM
필요가	필요/NNG + 가/JKS
있다.	있/VV + 다/EF + ./SF

우리가	우리/NP + 가/JKS
그동안	그동안/NNG
국내	국내/NNG
정책에서	정책/NNG + 에서/JKB
우리의	우리/NP + 의/JKG
농업	농업/NNG
구조	구조/NNG
근대화를	근대/NNG + 화/XSN + 를/JKO
등한히	등한히/MAG
했던	하/VV + 았/EP + 던/ETM
만큼	만큼/NNB
이번	이번/NNG
협상에서	협상/NNG + 에서/JKB
가능한	가능/NNG + 하/XSA + ㄴ/ETM
최대의	최대/NNG + 의/JKG
유예와	유예/NNG + 와/JC
시간	시간/NNG
벌기에	벌/VV + 기/ETN + 에/JKB
노력하고,	노력/NNG + 하/XSV + 고/EC + ,/SP
스스로의	스스로/NNG + 의/JKG
정책	정책/NNG
노력을	노력/NNG + 을/JKO
집중적인	집중/NNG + 적/XSN + 이/VCP + ㄴ/ETM
농업	농업/NNG
구조	구조/NNG
개편을	개편/NNG + 을/JKO
서둘러,	서두르/VV + 어/EC + ,/SP
UR의	UR/SL + 의/JKG
충격을	충격/NNG + 을/JKO
최소화하는	최소/NNG + 화/XSN + 하/XSV + 는/ETM
일이	일/NNG + 이/JKS
매우	매우/MAG
중요한	중요/NNG + 하/XSA + ㄴ/ETM
의미를	의미/NNG + 를/JKO
갖는다.	갖/VV + 는다/EF + ./SF

동시에	동시/NNG + 에/JKB
우리	우리/NP
대표들은,	대표/NNG + 들/XSN + 은/JX + ,/SP
UR의	UR/SL + 의/JKG
최종적	최종/NNG + 적/XSN
결렬이	결렬/NNG + 이/JKS
결국은	결국/NNG + 은/JX
경제	경제/NNG
블록간의	블록/NNG + 간/NNB + 의/JKG
대립된	대립/NNG + 되/XSV + ㄴ/ETM
이해	이해/NNG
관계를	관계/NNG + 를/JKO
고착화	고착/NNG + 화/XSN
내지는	내지/MAG + 는/JX
증폭시키고,	증폭/NNG + 시키/XSV + 고/EC + ,/SP
세계	세계/NNG
무역의	무역/NNG + 의/JKG
새로운	새롭/VA + ㄴ/ETM
긴장	긴장/NNG
관계를	관계/NNG + 를/JKO
조성할	조성/NNG + 하/XSV + ㄹ/ETM
가능성	가능/NNG + 성/XSN
또한	또한/MAG
충분히	충분히/MAG
예견해야	예견/NNG + 하/XSV + 아야/EC
할	하/VX + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

세계	세계/NNG
경제가	경제/NNG + 가/JKS
가냘픈	가냘프/VA + ㄴ/ETM
명분만	명분/NNG + 만/JX
안고	안/VV + 고/EC
있는	있/VX + 는/ETM
GATT체제에서	GATT/SL + 체제/NNG + 에서/JKB
그나마	그나마/MAG
완전	완전/NNG
이탈할	이탈/NNG + 하/XSV + ㄹ/ETM
경우,	경우/NNG + ,/SP
우리와	우리/NP + 와/JKB
같은	같/VA + 은/ETM
무역	무역/NNG
의존형	의존/NNG + 형/XSN
중진	중진/NNG
개발	개발/NNG
도상국의	도상국/NNG + 의/JKG
좌표가	좌표/NNG + 가/JKS
어떻게	어떻/VA + 게/EC
설정될	설정/NNG + 되/XSV + ㄹ/ETM
수	수/NNB
있는지도	있/VV + 는지/EC + 도/JX
정부	정부/NNG
차원에서	차원/NNG + 에서/JKB
깊은	깊/VA + 은/ETM
연구	연구/NNG
검토가	검토/NNG + 가/JKS
있어야	있/VV + 어야/EC
함은	하/VX + ㅁ/ETN + 은/JX
물론이다.	물론/NNG + 이/VCP + 다/EF + ./SF

정부가	정부/NNG + 가/JKS
시국을	시국/NNG + 을/JKO
'총체적	'/SS + 총체/NNG + 적/XSN
난국'으로	난국/NNG + '/SS + 으로/JKB
규정하고	규정/NNG + 하/XSV + 고/EC
각종	각종/NNG
대응책을	대응책/NNG + 을/JKO
발표한	발표/NNG + 하/XSV + ㄴ/ETM
지도	지/NNB + 도/JX
어언	어언/MAG
7	7/SN
개월이	개월/NNB + 이/JKS
지났다.	지나/VV + 았/EP + 다/EF + ./SF

노태우	노태우/NNP
대통령은	대통령/NNG + 은/JX
지난	지나/VV + ㄴ/ETM
5월초	5/SN + 월/NNB + 초/NNB
이와	이/NP + 와/JKB
관련,	관련/NNG + ,/SP
발표한	발표/NNG + 하/XSV + ㄴ/ETM
시국	시국/NNG
담화문을	담화문/NNG + 을/JKO
통해	통하/VV + 아/EC
"금년말까지	"/SS + 금년/NNG + 말/NNB + 까지/JX
정치	정치/NNG
경제	경제/NNG
사회의	사회/NNG + 의/JKG
안정을	안정/NNG + 을/JKO
이룩하도록	이룩/XR + 하/XSV + 도록/EC
비상한	비상/NNG + 하/XSA + ㄴ/ETM
각오로	각오/NNG + 로/JKB
국정을	국정/NNG + 을/JKO
이끌	이끌/VV + ㄹ/ETM
것"이라고	것/NNB + "/SS + 이라고/JKQ
다짐했었다.	다짐/NNG + 하/XSV + 았었/EP + 다/EF + ./SF

그러나	그러나/MAJ
상황은	상황/NNG + 은/JX
전혀	전혀/MAG
호전되지	호전/NNG + 되/XSV + 지/EC
않았으며,	않/VX + 았/EP + 으며/EC + ,/SP
몇	몇/MM
주	주/NNG
안	안/MAG
남은	남/VV + 은/ETM
연말까지	연말/NNG + 까지/JX
그럴	그렇/VA + ㄹ/ETM
가능성도	가능/NNG + 성/XSN + 도/JX
거의	거의/MAG
보이지	보이/VV + 지/EC
않고	않/VX + 고/EC
있다.	있/VX + 다/EF + ./SF

특히	특히/MAG
범죄의	범죄/NNG + 의/JKG
경우는	경우/NNG + 는/JX
'총체적	'/SS + 총체/NNG + 적/XSN
난국'	난국/NNG + '/SS
선언	선언/NNG
이후에도	이후/NNG + 에/JKB + 도/JX
계속	계속/MAG
극성을	극성/NNG + 을/JKO
부려,	부리/VV + 어/EC + ,/SP
정부가	정부/NNG + 가/JKS
따로	따로/MAG
'범죄와의	'/SS + 범죄/NNG + 와/JKB + 의/JKG
전쟁'을	전쟁/NNG + '/SS + 을/JKO
선포,	선포/NNG + ,/SP
총력	총력/NNG
대응	대응/NNG
체제를	체제/NNG + 를/JKO
갖췄지만	갖추/VV + 었/EP + 지만/EC
역시	역시/MAG
가시적인	가시/NNG + 적/XSN + 이/VCP + ㄴ/ETM
효과가	효과/NNG + 가/JKS
나타나지	나타나/VV + 지/EC
않고	않/VX + 고/EC
있는	있/VX + 는/ETM
실정이다.	실정/NNG + 이/VCP + 다/EF + ./SF

또한	또한/MAG
유가	유가/NNG
인상의	인상/NNG + 의/JKG
여파로	여파/NNG + 로/JKB
물가가	물가/NNG + 가/JKS
들먹이는가	들먹이/VV + 는가/EC
하면	하/VV + 면/EC
'UR(우루과이라운드	'/SS + UR/SL + (/SS + 우루과이/NNP + 라운드/NNG
공포'로	공포/NNG + '/SS + 로/JKB
각계가	각계/NNG + 가/JKS
몸살을	몸살/NNG + 을/JKO
앓는	앓/VV + 는/ETM
등	등/NNB
우리가	우리/NP + 가/JKS
해결하고	해결/NNG + 하/XSV + 고/EC
극복해야	극복/NNG + 하/XSV + 아야/EC
할	하/VX + ㄹ/ETM
과제들은	과제/NNG + 들/XSN + 은/JX
갈수록	가/VV + ㄹ수록/EC
쌓여만	쌓이/VV + 어/EC + 만/JX
가는	가/VX + 는/ETM
양상이다.	양상/NNG + 이/VCP + 다/EF + ./SF

실로	실로/MAG
암담한	암담/XR + 하/XSA + ㄴ/ETM
현실이	현실/NNG + 이/JKC
아닐	아니/VCN + ㄹ/ETM
수	수/NNB
없다.	없/VA + 다/EF + ./SF

특히	특히/MAG
최근	최근/NNG
'인천사건'과	'/SS + 인천/NNP + 사건/NNG + '/SS + 과/JC
'대전	'/SS + 대전/NNP
술자리	술자리/NNG
합석사건'을	합석/NNG + 사건/NNG + '/SS + 을/JKO
계기로	계기/NNG + 로/JKB
드러나고	드러나/VV + 고/EC
있는	있/VX + 는/ETM
'권-폭	'/SS + 권/NNG + -/SS + 폭/NNG
유착	유착/NNG
현상'은	현상/NNG + '/SS + 은/JX
정부가	정부/NNG + 가/JKS
과연	과연/MAG
현	현/MM
난국을	난국/NNG + 을/JKO
타개할	타개/NNG + 하/XSV + ㄹ/ETM
자격을	자격/NNG + 을/JKO
갖추었는지조차	갖추/VV + 었/EP + 는지/EC + 조차/JX
의심하게	의심/NNG + 하/XSV + 게/EC
만들고	만들/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

어떻든	어떻든/MAG
거듭된	거듭/MAG + 되/XSV + ㄴ/ETM
비상	비상/NNG
처방에도	처방/NNG + 에/JKB + 도/JX
불구하고	불구/XR + 하/XSV + 고/EC
시국이	시국/NNG + 이/JKS
호전되지	호전/NNG + 되/XSV + 지/EC
않고	않/VX + 고/EC
있다	있/VX + 다/EC
함은	하/VV + ㅁ/ETN + 은/JX
정부의	정부/NNG + 의/JKG
한계를	한계/NNG + 를/JKO
보여주는	보이/VV + 어/EC + 주/VX + 는/ETM
것임에	것/NNB + 이/VCP + ㅁ/ETN + 에/JKB
틀림없다.	틀림없/VA + 다/EF + ./SF

그렇다고	그렇/VA + 다고/EC
남의	남/NNG + 의/JKG
일처럼	일/NNG + 처럼/JKB
강	강/NNG
건너	건너/NNG
불구경하는	불구경/NNG + 하/XSV + 는/ETM
식으로	식/NNB + 으로/JKB
방관만	방관/NNG + 만/JX
할	하/VV + ㄹ/ETM
수도	수/NNB + 도/JX
없는	없/VA + 는/ETM
노릇이다.	노릇/NNG + 이/VCP + 다/EF + ./SF

그것은	그것/NP + 은/JX
바로	바로/MAG
우리	우리/NP
일이며,	일/NNG + 이/VCP + 며/EC + ,/SP
우리	우리/NP
자신의	자신/NNG + 의/JKG
운명을	운명/NNG + 을/JKO
결정짓는	결정짓/VV + 는/ETM
요소들인	요소/NNG + 들/XSN + 이/VCP + ㄴ/ETM
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

그러면	그러면/MAJ
어떻게	어떻/VA + 게/EC
해야	하/VV + 아야/EC
할	하/VX + ㄹ/ETM
것인가.	것/NNB + 이/VCP + ㄴ가/EF + ./SF

우리는	우리/NP + 는/JX
지금이야말로	지금/NNG + 이야말로/JX
시민	시민/NNG
각자가	각자/NNG + 가/JKS
나서야	나서/VV + 어야/EC
할	하/VX + ㄹ/ETM
때라고	때/NNG + 이/VCP + 라고/EC
본다.	보/VV + ㄴ다/EF + ./SF

지금과	지금/NNG + 과/JKB
같은	같/VA + 은/ETM
상태가	상태/NNG + 가/JKS
방치되고	방치/NNG + 되/XSV + 고/EC
