서울	서울/NNP
어려운	어렵/VA + ㄴ/ETM
일들이	일/NNG + 들/XSN + 이/JKS
많은지.	많/VA + 은지/EF + ./SF

남들한테는	남/NNG + 들/XSN + 한테/JKB + 는/JX
가정적인	가정/NNG + 적/XSN + 이/VCP + ㄴ/ETM
남자로	남자/NNG + 로/JKB
꼽히는	꼽히/VV + 는/ETM
나도	나/NP + 도/JX
집에서	집/NNG + 에서/JKB
아이들과	아이/NNG + 들/XSN + 과/JKB
보내기가	보내/VV + 기/ETN + 가/JKS
여간	여간/MAG
어려운	어렵/VA + ㄴ/ETM
것이	것/NNB + 이/JKC
아니다.	아니/VCN + 다/EF + ./SF

영화	영화/NNG
일엔	일/NNG + 에/JKB + ㄴ/JX
최선을	최선/NNG + 을/JKO
다하면서도	다/MAG + 하/XSV + 면서/EC + 도/JX
집안	집안/NNG
일은	일/NNG + 은/JX
아무래도	아무래도/MAG
내일이라는	내일/NNG + 이/VCP + 라는/ETM
생각이	생각/NNG + 이/JKS
쉽게	쉽/VA + 게/EC
들지	들/VV + 지/EC
않아	않/VX + 아/EC
게을리해	게을리/MAG + 하/VV + 아/EC
왔다는	오/VX + 았/EP + 다는/ETM
반성도	반성/NNG + 도/JX
한다.	하/VV + ㄴ다/EF + ./SF

가정교육은	가정교육/NNG + 은/JX
아이들의	아이/NNG + 들/XSN + 의/JKG
장래를	장래/NNG + 를/JKO
좌우하는	좌우/NNG + 하/XSV + 는/ETM
중요한	중요/NNG + 하/XSA + ㄴ/ETM
과제라	과제/NNG + 이/VCP + 라/EC
생각하면서도	생각/NNG + 하/XSV + 면서/EC + 도/JX
좋은	좋/VA + 은/ETM
아버지	아버지/NNG
모습을	모습/NNG + 을/JKO
일관성	일관/NNG + 성/XSN
있게	있/VV + 게/EC
보여	보이/VV + 어/EC
주지	주/VX + 지/EC
못하는	못하/VX + 는/ETM
것	것/NNB
같기도	같/VA + 기/ETN + 도/JX
하다.	하/VX + 다/EF + ./SF

대수롭지	대수/NNG + 롭/XSA + 지/EC
않은	않/VX + 은/ETM
일에	일/NNG + 에/JKB
불끈	불끈/MAG
화가	화/NNG + 가/JKS
치밀어	치밀/VV + 어/EC
욕을	욕/NNG + 을/JKO
하고	하/VV + 고/EC
매도	매/NNG + 도/JX
들고,	들/VV + 고/EC + ,/SP
심지어	심지어/MAG
미움을	미움/NNG + 을/JKO
갖게	갖/VV + 게/EC
되는	되/VV + 는/ETM
경우도	경우/NNG + 도/JX
종종	종종/MAG
있다.	있/VV + 다/EF + ./SF

그러다	그러/VV + 다/EC
아이	아이/NNG
키우는	키우/VV + 는/ETM
문제로	문제/NNG + 로/JKB
아내와	아내/NNG + 와/JKB
의견	의견/NNG
충돌을	충돌/NNG + 을/JKO
빚기도	빚/VV + 기/ETN + 도/JX
일쑤다.	일쑤/NNG + 이/VCP + 다/EF + ./SF

아이들을	아이/NNG + 들/XSN + 을/JKO
내	나/NP + 의/JKG
기준에	기준/NNG + 에/JKB
끼워	끼우/VV + 어/EC
맞추려	맞추/VV + 려/EC
하지	하/VX + 지/EC
않을	않/VV + 을/ETM
것,	것/NNB + ,/SP
아이	아이/NNG
입장이	입장/NNG + 이/JKC
되어	되/VV + 어/EC
보려	보/VX + 려/EC
노력하는	노력/NNG + 하/XSV + 는/ETM
나는	나/NP + 는/JX
오늘도	오늘/NNG + 도/JX
성	성/NNP
프란체스코의	프란체스코/NNP + 의/JKG
평화를	평화/NNG + 를/JKO
구하는	구하/VV + 는/ETM
기도	기도/NNG
중	중/NNB
한	한/MM
부분을	부분/NNG + 을/JKO
되뇌본다.	되뇌/VV + 어/EC + 보/VX + ㄴ다/EF + ./SF

'위로받기보다는	'/SS + 위로/NNG + 받/VV + 기/ETN + 보다/JKB + 는/JX
위로하고,	위로/NNG + 하/XSV + 고/EC + ,/SP
이해받기보다는	이해/NNG + 받/VV + 기/ETN + 보다/JKB + 는/JX
이해하며,	이해/NNG + 하/XSV + 며/EC + ,/SP
용서함으로써	용서/NNG + 하/XSV + ㅁ/ETN + 으로써/JKB
용서받으며	용서/NNG + 받/VV + 으며/EC
사랑받기보다는	사랑/NNG + 받/VV + 기/ETN + 보다/JKB + 는/JX
사랑하게	사랑/NNG + 하/XSV + 게/EC
하여주소서'라고―.	하/VX + 아/EC + 주/VX + 소서/EC + '/SS + 라고/JKQ + ―/SS + ./SF

1982년도	1982/SN + 년/NNB + 도/JX
한	한/MM
해가	해/NNG + 가/JKS
다	다/MAG
지나갈	지나가/VV + ㄹ/ETM
무렵인	무렵/NNB + 이/VCP + ㄴ/ETM
12월	12/SN + 월/NNB
26일,	26/SN + 일/NNB + ,/SP
전화교환원으로	전화/NNG + 교환원/NNG + 으로/JKB
일하던	일/NNG + 하/XSV + 던/ETM
당시	당시/NNG
43세였던	43/SN + 세/NNB + 이/VCP + 었/EP + 던/ETM
아내의	아내/NNG + 의/JKG
정년퇴임식	정년/NNG + 퇴임식/NNG
이야기를	이야기/NNG + 를/JKO
들었을	듣/VV + 었/EP + 을/ETM
때	때/NNG
'정년'이라는	'/SS + 정년/NNG + '/SS + 이/VCP + 라는/ETM
어감이	어감/NNG + 이/JKS
정말	정말/MAG
어색하게	어색/XR + 하/XSA + 게/EC
들렸다.	들리/VV + 었/EP + 다/EF + ./SF

미국	미국/NNP
영화에서	영화/NNG + 에서/JKB
미국	미국/NNP
영화에서	영화/NNG + 에서/JKB
종종	종종/MAG
안경을	안경/NNG + 을/JKO
코에	코/NNG + 에/JKB
걸친	걸치/VV + ㄴ/ETM
중년	중년/NNG
부인이	부인/NNG + 이/JKS
전화	전화/NNG
교환대에	교환대/NNG + 에/JKB
앉아	앉/VV + 아/EC
열심히	열심히/MAG
교환	교환/NNG
중계하는	중계/NNG + 하/XSV + 는/ETM
장면이	장면/NNG + 이/JKS
회상되었기	회상/NNG + 되/XSV + 었/EP + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

물론	물론/MAG
아내는	아내/NNG + 는/JX
불복하였고	불복/NNG + 하/XSV + 았/EP + 고/EC
다음해	다음/NNG + 해/NNG
법원에	법원/NNG + 에/JKB
'여성	'/SS + 여성/NNG
차별	차별/NNG
정년	정년/NNG
퇴직	퇴직/NNG
무효	무효/NNG
확인'	확인/NNG + '/SS
소송을	소송/NNG + 을/JKO
제기했다.	제기/NNG + 하/XSV + 았/EP + 다/EF + ./SF

1-	1/SN + -/SS
2심에서	2/SN + 심/NNG + 에서/JKB
보기	보/VV + 기/ETN
좋게	좋/VA + 게/EC
패소했고	패소/NNG + 하/XSV + 았/EP + 고/EC
1989년	1989/SN + 년/NNB
대법원	대/XPN + 법원/NNG
승소	승소/NNG
판결까지	판결/NNG + 까지/JX
무려	무려/MAG
6년	6/SN + 년/NNB
6	6/SN
개월이라는	개월/NNB + 이/VCP + 라는/ETM
세월이	세월/NNG + 이/JKS
흘렀다.	흐르/VV + 었/EP + 다/EF + ./SF

이	이/MM
기간	기간/NNG
동안	동안/NNG
중1이었던	중/NNG + 1/SN + 이/VCP + 었/EP + 던/ETM
우리	우리/NP
큰	크/VA + ㄴ/ETM
놈이	놈/NNB + 이/JKS
대학교	대학교/NNG
1학년생으로	1/SN + 학년/NNG + 생/XSN + 으로/JKB
성장했다.	성장/NNG + 하/XSV + 았/EP + 다/EF + ./SF

전화교환원의	전화/NNG + 교환원/NNG + 의/JKG
여성	여성/NNG
신분으로	신분/NNG + 으로/JKB
외롭고	외롭/VA + 고/EC
긴	길/VA + ㄴ/ETM
법정	법정/NNG
투쟁의	투쟁/NNG + 의/JKG
각고는	각고/NNG + 는/JX
너무나	너무나/MAG
큰	크/VA + ㄴ/ETM
시련이었다.	시련/NNG + 이/VCP + 었/EP + 다/EF + ./SF

1심때는	1/SN + 심/NNG + 때/NNG + 는/JX
변호사	변호사/NNG
없이	없이/MAG
재판에	재판/NNG + 에/JKB
임했고	임하/VV + 았/EP + 고/EC
주위의	주위/NNG + 의/JKG
협조나	협조/NNG + 나/JC
격려는커녕	격려/NNG + 는커녕/JX
'바위에다	'/SS + 바위/NNG + 에다/JKB
계란	계란/NNG
던지는	던지/VV + 는/ETM
격의	격/NNB + 의/JKG
도전'이라는	도전/NNG + '/SS + 이/VCP + 라는/ETM
냉소적인	냉소/NNG + 적/XSN + 이/VCP + ㄴ/ETM
무관심	무/XPN + 관심/NNG
뿐이었다.	뿐/NNB + 이/VCP + 었/EP + 다/EF + ./SF

남편인	남편/NNG + 이/VCP + ㄴ/ETM
내	나/NP + 의/JKG
자신도	자신/NNG + 도/JX
처음에는	처음/NNG + 에/JKB + 는/JX
소송	소송/NNG
취하를	취하/NNG + 를/JKO
권유해	권유/NNG + 하/XSV + 아/EC
볼까	보/VX + ㄹ까/EC
했다.	하/VV + 았/EP + 다/EF + ./SF

그러나	그러나/MAJ
자신의	자신/NNG + 의/JKG
이기적인	이기/NNG + 적/XSN + 이/VCP + ㄴ/ETM
정년	정년/NNG
연장이	연장/NNG + 이/JKS
목적이	목적/NNG + 이/JKC
아니라	아니/VCN + 라/EC
'여권	'/SS + 여권/NNG
신장'이라는	신장/NNG + '/SS + 이/VCP + 라는/ETM
차원에서	차원/NNG + 에서/JKB
법정	법정/NNG
투쟁을	투쟁/NNG + 을/JKO
한다는	하/VV + ㄴ다는/ETM
아내의	아내/NNG + 의/JKG
신념은	신념/NNG + 은/JX
너무나도	너무나/MAG + 도/JX
확고했다.	확고/XR + 하/XSA + 았/EP + 다/EF + ./SF

남편이라는	남편/NNG + 이/VCP + 라는/ETM
입장을	입장/NNG + 을/JKO
떠나	떠나/VV + 아/EC
노동조합에서	노동조합/NNG + 에서/JKB
만나	만나/VV + 아/EC
결혼한	결혼/NNG + 하/XSV + ㄴ/ETM
동지애(?)로써	동지애/NNG + (/SS + ?/SP + )/SS + 로써/JKB
고통의	고통/NNG + 의/JKG
역할을	역할/NNG + 을/JKO
분담하며	분담/NNG + 하/XSV + 며/EC
어렵게	어렵/VA + 게/EC
견디어	견디/VV + 어/EC
나갔다.	나가/VX + 았/EP + 다/EF + ./SF

이	이/MM
기간	기간/NNG
동안	동안/NNG
하고	하/VV + 고/EC
있던	있/VX + 던/ETM
사업도	사업/NNG + 도/JX
부진해	부진/NNG + 하/XSA + 아/EC
재정적	재정/NNG + 적/XSN
지원도	지원/NNG + 도/JX
제대로	제대로/MAG
못한	못/MAG + 하/VV + ㄴ/ETM
채	채/NNB
몸과	몸/NNG + 과/JC
마음으로	마음/NNG + 으로/JKB
도울	돕/VV + ㄹ/ETM
수밖에	수/NNB + 밖에/JX
없었다.	없/VA + 었/EP + 다/EF + ./SF

때로는	때로/MAG + 는/JX
1달에	1/SN + 달/NNG + 에/JKB
2번,	2/SN + 번/NNB + ,/SP
때로는	때로/MAG + 는/JX
한	한/MM
달에	달/NNG + 에/JKB
1번씩	1/SN + 번/NNB + 씩/XSN
열린	열리/VV + ㄴ/ETM
재판정에는	재판정/NNG + 에/JKB + 는/JX
빠짐	빠지/VV + ㅁ/ETN
없이	없이/MAG
함께	함께/MAG
참석했고	참석/NNG + 하/XSV + 았/EP + 고/EC
친지들이	친지/NNG + 들/XSN + 이/JKS
격려차	격려/NNG + 차/NNB
재판정에	재판정/NNG + 에/JKB
오기라도	오/VV + 기/ETN + 이/VCP + 라도/EC
하면	하/VV + 면/EC
다방에	다방/NNG + 에/JKB
가서	가/VV + 아서/EC
차를	차/NNG + 를/JKO
대접하기도	대접/NNG + 하/XSV + 기/ETN + 도/JX
했다.	하/VX + 았/EP + 다/EF + ./SF

남에게	남/NNG + 에게/JKB
추한	추하/VA + ㄴ/ETM
꼴을	꼴/NNG + 을/JKO
노출시키지	노출/NNG + 시키/XSV + 지/EC
않고	않/VX + 고/EC
마음의	마음/NNG + 의/JKG
여유를	여유/NNG + 를/JKO
보인다는	보이/VV + ㄴ다는/ETM
것은	것/NNB + 은/JX
혹독한	혹독/XR + 하/XSA + ㄴ/ETM
인생의	인생/NNG + 의/JKG
수양	수양/NNG
과정이다.	과정/NNG + 이/VCP + 다/EF + ./SF

'인내를	'/SS + 인내/NNG + 를/JKO
갖고	갖/VV + 고/EC
성실하게	성실/NNG + 하/XSA + 게/EC
기다리는	기다리/VV + 는/ETM
자'에게	자/NNB + '/SS + 에게/JKB
기회는	기회/NNG + 는/JX
오기	오/VV + 기/ETN
마련.	마련/NNB + ./SF

2심	2/SN + 심/NNG
때부터	때/NNG + 부터/JX
매스컴에서	매스컴/NNG + 에서/JKB
사회적	사회/NNG + 적/XSN
여론을	여론/NNG + 을/JKO
이끌어	이끌/VV + 어/EC
주었고	주/VX + 었/EP + 고/EC
여성	여성/NNG
단체의	단체/NNG + 의/JKG
적극적인	적극/NNG + 적/XSN + 이/VCP + ㄴ/ETM
후원,	후원/NNG + ,/SP
소신	소신/NNG
있는	있/VV + 는/ETM
변호사들의	변호사/NNG + 들/XSN + 의/JKG
무료	무료/NNG
변론,	변론/NNG + ,/SP
민주화의	민주/NNG + 화/XSN + 의/JKG
새바람	새바람/NNG
등에	등/NNB + 에/JKB
힘입어	힘입/VV + 어/EC
아내는	아내/NNG + 는/JX
'여성	'/SS + 여성/NNG
정년	정년/NNG
차별'의	차별/NNG + '/SS + 의/JKG
벽을	벽/NNG + 을/JKO
허물어	허물/VV + 어/EC
버린	버리/VX + ㄴ/ETM
'역사적	'/SS + 역사/NNG + 적/XSN
여장부	여장부/NNG
김영희'로	김영희/NNP + '/SS + 로/JKB
매스컴에	매스컴/NNG + 에/JKB
자주	자주/MAG
등장하게	등장/NNG + 하/XSV + 게/EC
됐다.	되/VV + 었/EP + 다/EF + ./SF

하지만	하지만/MAJ
아직도	아직/MAG + 도/JX
남성들보다	남성/NNG + 들/XSN + 보다/JKB
빠른	빠르/VA + ㄴ/ETM
53세	53/SN + 세/NNB
정년	정년/NNG
규정	규정/NNG
때문에	때문/NNB + 에/JKB
법정	법정/NNG
투쟁은	투쟁/NNG + 은/JX
현재	현재/MAG
2라운드로	2/SN + 라운드/NNG + 로/JKB
소송이	소송/NNG + 이/JKS
계속되고	계속/NNG + 되/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

소송을	소송/NNG + 을/JKO
벌이는	벌이/VV + 는/ETM
와중에서도	와중/NNG + 에서/JKB + 도/JX
아내로서,	아내/NNG + 로서/JKB + ,/SP
세	세/MM
형제의	형제/NNG + 의/JKG
엄마로서의	엄마/NNG + 로서/JKB + 의/JKG
생활	생활/NNG
패턴을	패턴/NNG + 을/JKO
흐트리지	흐트리/VV + 지/EC
않는	않/VX + 는/ETM
아내의	아내/NNG + 의/JKG
노력을	노력/NNG + 을/JKO
나는	나/NP + 는/JX
높이	높이/MAG
평가한다.	평가/NNG + 하/XSV + ㄴ다/EF + ./SF

아름다운	아름답/VA + ㄴ/ETM
꽃을	꽃/NNG + 을/JKO
가꿀	가꾸/VV + ㄹ/ETM
줄	줄/NNB
모르면	모르/VV + 면/EC
그	그/MM
아름다움을	아름답/VA + ㅁ/ETN + 을/JKO
감상할	감상/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
없고,	없/VA + 고/EC + ,/SP
여자를	여자/NNG + 를/JKO
이해하지	이해/NNG + 하/XSV + 지/EC
못하는	못하/VX + 는/ETM
사람은	사람/NNG + 은/JX
그	그/MM
여자를	여자/NNG + 를/JKO
사랑할	사랑/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
없다는	없/VA + 다는/ETM
생각이다.	생각/NNG + 이/VCP + 다/EF + ./SF

남편이건,	남편/NNG + 이/VCP + 건/EC + ,/SP
아내건	아내/NNG + 이/VCP + 건/EC
모든	모든/MM
사람을	사람/NNG + 을/JKO
위해	위하/VV + 아/EC
역사적인	역사/NNG + 적/XSN + 이/VCP + ㄴ/ETM
흔적을	흔적/NNG + 을/JKO
남길	남기/VV + ㄹ/ETM
수	수/NNB
있다면	있/VV + 다면/EC
우리라는	우리/NP + 이/VCP + 라는/ETM
'가족'	'/SS + 가족/NNG + '/SS
차원에서	차원/NNG + 에서/JKB
얼마나	얼마나/MAG
보람된	보람/NNG + 되/XSV + ㄴ/ETM
일이겠는가!	일/NNG + 이/VCP + 겠/EP + 는가/EF + !/SF

내가	내/NP + 가/JKS
한국에	한국/NNP + 에/JKB
온	오/VV + ㄴ/ETM
것은	것/NNB + 은/JX
지난7월.	지나/VV + ㄴ/ETM + 7/SN + 월/NNB + ./SF

비록	비록/MAG
짧은	짧/VA + 은/ETM
기간이지만	기간/NNG + 이/VCP + 지만/EC
그동안	그동안/NNG
많은	많/VA + 은/ETM
곳을	곳/NNG + 을/JKO
보고	보/VV + 고/EC
느꼈다.	느끼/VV + 었/EP + 다/EF + ./SF

경주,	경주/NNP + ,/SP
부산,	부산/NNP + ,/SP
대구,	대구/NNP + ,/SP
대전	대전/NNP
엑스포,	엑스포/NNG + ,/SP
전남	전남/NNP
지역과	지역/NNG + 과/JC
판문점	판문점/NNP
그리고	그리고/MAJ
충북	충북/NNP
내륙은	내륙/NNG + 은/JX
한국에	한국/NNP + 에/JKB
오기	오/VV + 기/ETN
전	전/NNG
캐나다에서	캐나다/NNP + 에서/JKB
들은	듣/VV + 은/ETM
'조용한	'/SS + 조용/XR + 하/XSA + ㄴ/ETM
아침의	아침/NNG + 의/JKG
나라'를	나라/NNG + '/SS + 를/JKO
실감케	실감/NNG + 하/XSV + 게/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

부산	부산/NNP
해운대에선	해운대/NNP + 에서/JKB + ㄴ/JX
아내와	아내/NNG + 와/JKB
함께	함께/MAG
한국인들의	한국인/NNG + 들/XSN + 의/JKG
바캉스	바캉스/NNG
인파에	인파/NNG + 에/JKB
섞여	섞이/VV + 어/EC
해수욕을	해수욕/NNG + 을/JKO
즐기기도	즐기/VV + 기/ETN + 도/JX
했다.	하/VX + 았/EP + 다/EF + ./SF

특히	특히/MAG
지난	지나/VV + ㄴ/ETM
8월	8/SN + 월/NNB
직장	직장/NNG
동료들과	동료/NNG + 들/XSN + 과/JKB
경험한	경험/NNG + 하/XSV + ㄴ/ETM
충청북도	충청북도/NNP
여행은	여행/NNG + 은/JX
나에게	나/NP + 에게/JKB
큰	크/VA + ㄴ/ETM
행운이었다.	행운/NNG + 이/VCP + 었/EP + 다/EF + ./SF

충북	충북/NNP
지역의	지역/NNG + 의/JKG
아름다운	아름답/VA + ㄴ/ETM
산골짜기와	산골짜기/NNG + 와/JC
온갖	온갖/MM
새들,	새/NNG + 들/XSN + ,/SP
그곳	그곳/NP
사람들은	사람/NNG + 들/XSN + 은/JX
"이곳이	"/SS + 이곳/NP + 이/JKS
진짜	진짜/MAG
코리아구나!"라는	코리아/NNP + 이/VCP + 구나/EF + !/SF + "/SS + 이/VCP + 라는/ETM

인상을	인상/NNG + 을/JKO
심어줬다.	심/VV + 어/EC + 주/VX + 었/EP + 다/EF + ./SF

깊은	깊/VA + 은/ETM
숲	숲/NNG
속에서	속/NNG + 에서/JKB
우연히	우연히/MAG
발견한	발견/NNG + 하/XSV + ㄴ/ETM
묘터에선	묘/NNG + 터/NNG + 에서/JKB + ㄴ/JX
한국인들의	한국인/NNG + 들/XSN + 의/JKG
조상에	조상/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
존경심과	존경심/NNG + 과/JC
오랜	오랜/MM
역사를	역사/NNG + 를/JKO
엿볼	엿보/VV + ㄹ/ETM
수	수/NNB
있었다.	있/VV + 었/EP + 다/EF + ./SF

충주에서	충주/NNP + 에서/JKB
단양까지	단양/NNP + 까지/JX
배를	배/NNG + 를/JKO
타고	타/VV + 고/EC
감상한	감상/NNG + 하/XSV + ㄴ/ETM
충주호의	충주호/NNP + 의/JKG
아름다움은	아름답/VA + ㅁ/ETN + 은/JX
대단했다.	대단/XR + 하/XSA + 았/EP + 다/EF + ./SF

곧	곧/MAG
이어	잇/VV + 어/EC
도착한	도착/NNG + 하/XSV + ㄴ/ETM
고수동굴은	고수동굴/NNP + 은/JX
또	또/MAG
다른	다른/MM
세계였다.	세계/NNG + 이/VCP + 었/EP + 다/EF + ./SF

충북지역은	충북/NNP + 지역/NNG + 은/JX
산과	산/NNG + 과/JC
물,	물/NNG + ,/SP
동굴이	동굴/NNG + 이/JKS
어우러진	어우러지/VV + ㄴ/ETM
세계적인	세계/NNG + 적/XSN + 이/VCP + ㄴ/ETM
관광의	관광/NNG + 의/JKG
보고가	보고/NNG + 가/JKC
아닌가	아니/VCN + ㄴ가/EC
생각된다.	생각/NNG + 되/XSV + ㄴ다/EF + ./SF

요즘	요즘/NNG
한국에선	한국/NNP + 에서/JKB + ㄴ/JX
관광	관광/NNG
적자를	적자/NNG + 를/JKO
우려하는	우려/NNG + 하/XSV + 는/ETM
목소리가	목소리/NNG + 가/JKS
자주	자주/MAG
들린다.	들리/VV + ㄴ다/EF + ./SF

하지만,	하지만/MAJ + ,/SP
외국을	외국/NNG + 을/JKO
방문하는	방문/NNG + 하/XSV + 는/ETM
한국인이	한국인/NNG + 이/JKS
늘어날수록	늘어나/VV + ㄹ수록/EC
외국인에게	외국인/NNG + 에게/JKB
한국을	한국/NNP + 을/JKO
여행	여행/NNG
목적지로	목적지/NNG + 로/JKB
홍보하는	홍보/NNG + 하/XSV + 는/ETM
기회도	기회/NNG + 도/JX
많아지리라	많/VA + 아/EC + 지/VX + 리라/EC
생각된다.	생각/NNG + 되/XSV + ㄴ다/EF + ./SF

한국의	한국/NNP + 의/JKG
1급호텔들은	1/SN + 급/NNG + 호텔/NNG + 들/XSN + 은/JX
다른	다른/MM
나라	나라/NNG
못지	못하/VA + 지/EC
않게	않/VX + 게/EC
훌륭한	훌륭/XR + 하/XSA + ㄴ/ETM
시설을	시설/NNG + 을/JKO
갖추고	갖추/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

그러나	그러나/MAJ
그곳에서	그곳/NP + 에서/JKB
오랜	오랜/MM
기간을	기간/NNG + 을/JKO
머무르고자	머무르/VV + 고자/EC
하는	하/VX + 는/ETM
외국인	외국인/NNG
방문객은	방문객/NNG + 은/JX
별로	별로/MAG
없는	없/VA + 는/ETM
것으로	것/NNB + 으로/JKB
안다.	알/VV + ㄴ다/EF + ./SF

특히	특히/MAG
서울	서울/NNP
이외의	이외/NNG + 의/JKG
지역에	지역/NNG + 에/JKB
깨끗하고,	깨끗/XR + 하/XSA + 고/EC + ,/SP
관광객에게	관광객/NNG + 에게/JKB
푸근함을	푸근/XR + 하/XSA + ㅁ/ETN + 을/JKO
주는	주/VV + 는/ETM
숙박	숙박/NNG
장소가	장소/NNG + 가/JKS
필요한	필요/NNG + 하/XSA + ㄴ/ETM
것	것/NNB
같다.	같/VA + 다/EF + ./SF

서울의	서울/NNP + 의/JKG
교통수단은	교통수단/NNG + 은/JX
값이	값/NNG + 이/JKS
저렴한데	저렴/XR + 하/XSA + ㄴ데/EC
비해,	비하/VV + 아/EC + ,/SP
외국인이	외국인/NNG + 이/JKS
길을	길/NNG + 을/JKO
찾기는	찾/VV + 기/ETN + 는/JX
아직도	아직/MAG + 도/JX
어렵다.	어렵/VA + 다/EF + ./SF

독일학생들에게	독일/NNP + 학생/NNG + 들/XSN + 에게/JKB
가장	가장/MAG
큰	크/VA + ㄴ/ETM
학교	학교/NNG
행사중의	행사/NNG + 중/NNB + 의/JKG
하나로	하나/NR + 로/JKB
수학여행을	수학여행/NNG + 을/JKO
꼽을	꼽/VV + 을/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

국민학교	국민학교/NNG
2학년이	2/SN + 학년/NNG + 이/JKC
되면	되/VV + 면/EC
수학여행을	수학여행/NNG + 을/JKO
가기	가/VV + 기/ETN
시작하는	시작/NNG + 하/XSV + 는/ETM
데	데/NNB
대학	대학/NNG
진학을	진학/NNG + 을/JKO
전제로	전제/NNG + 로/JKB
한	하/VV + ㄴ/ETM
고등학교인	고등학교/NNG + 이/VCP + ㄴ/ETM
김나지움까지	김나지움/NNG + 까지/JX
마치면	마치/VV + 면/EC
13년	13/SN + 년/NNB
동안	동안/NNG
학교생활을	학교생활/NNG + 을/JKO
하면서	하/VV + 면서/EC
보통	보통/MAG
3~4회정도	3/SN + ~/SO + 4/SN + 회/NNB + 정도/NNG
수학여행을	수학여행/NNG + 을/JKO
간다.	가/VV + ㄴ다/EF + ./SF

수학여행을	수학여행/NNG + 을/JKO
위한	위하/VV + ㄴ/ETM
시설도	시설/NNG + 도/JX
잘	잘/MAG
정비돼	정비/NNG + 되/XSV + 어/EC
있다.	있/VX + 다/EF + ./SF

경치가	경치/NNG + 가/JKS
좋거나	좋/VA + 거나/EC
주위에	주위/NNG + 에/JKB
민속박물관이	민속/NNG + 박물관/NNG + 이/JKC
잘	잘/MAG
되어	되/VV + 어/EC
있는	있/VX + 는/ETM
곳에는	곳/NNG + 에/JKB + 는/JX
으레	으레/MAG
학생들을	학생/NNG + 들/XSN + 을/JKO
위해	위하/VV + 아/EC
국가나	국가/NNG + 나/JC
시에서	시/NNG + 에서/JKB
지은	짓/VV + 은/ETM
'슐란트하임'(Schull	'/SS + 슐란트하임/NNG + '/SS + (/SS + Schull/SL
and	and/SL
heim.학습의	heim/SL + ./SF + 학습/NNG + 의/JKG

집)이	집/NNG + )/SS + 이/JKS
있다.	있/VV + 다/EF + ./SF

임간학교라고도	임간/NNG + 학교/NNG + 이/VCP + 라고/EC + 도/JX
번역되는	번역/NNG + 되/XSV + 는/ETM
'슐란트하임'은	'/SS + 슐란트하임/NNG + '/SS + 은/JX
주로	주로/MAG
숲	숲/NNG
속에	속/NNG + 에/JKB
세워진	세우/VV + 어/EC + 지/VX + ㄴ/ETM
낭만적인	낭만/NNG + 적/XSN + 이/VCP + ㄴ/ETM
통나무집.	통나무집/NNG + ./SF

60~80	60/SN + ~/SO + 80/SN
명이	명/NNB + 이/JKS
동시에	동시/NNG + 에/JKB
숙식할	숙식/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있고	있/VV + 고/EC
전원	전원/NNG
한	한/MM
자리에	자리/NNG + 에/JKB
모일	모이/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
커다란	커다랗/VA + ㄴ/ETM
홀이	홀/NNG + 이/JKS
마련돼	마련/NNG + 되/XSV + 어/EC
있다.	있/VX + 다/EF + ./SF

하루	하루/NNG
숙식비는	숙식비/NNG + 는/JX
30마르크(1만	30/SN + 마르크/NNG + (/SS + 1/SN + 만/NR
5천원)정도로	5/SN + 천/NR + 원/NNB + )/SS + 정도/NNG + 로/JKB
이중	이/MM + 중/NNB
3분의1을	3/SN + 분/XSN + 의/JKG + 1/SN + 을/JKO
학생이	학생/NNG + 이/JKS
내고	내/VV + 고/EC
나머지는	나머지/NNG + 는/JX
시나	시/NNG + 나/JC
사회	사회/NNG
단체들이	단체/NNG + 들/XSN + 이/JKS
지불해	지불/NNG + 하/XSV + 아/EC
준다.	주/VX + ㄴ다/EF + ./SF

이러한	이러/XR + 하/XSA + ㄴ/ETM
숙박	숙박/NNG
시설은	시설/NNG + 은/JX
독일	독일/NNP
전역에	전역/NNG + 에/JKB
4백곳	4/SN + 백/NR + 곳/NNG
가량	가량/NNG
있다.	있/VV + 다/EF + ./SF

자연과	자연/NNG + 과/JKB
벗하며	벗/NNG + 하/XSV + 며/EC
단체생활을	단체/NNG + 생활/NNG + 을/JKO
익히고	익히/VV + 고/EC
주변	주변/NNG
마을의	마을/NNG + 의/JKG
역사를	역사/NNG + 를/JKO
공부하며	공부/NNG + 하/XSV + 며/EC
집이나	집/NNG + 이나/JC
학교를	학교/NNG + 를/JKO
떠나	떠나/VV + 아/EC
자유스러운	자유/NNG + 스럽/XSA + ㄴ/ETM
분위기에서	분위기/NNG + 에서/JKB
